id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_146885,CHEBI_150997,CHEBI_146885_CHEBI_150997,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_154387,CHEBI_157203,CHEBI_154387_CHEBI_157203,Stereo-resolution pairs,Stereo-resolution pairs,76.0
CHEBI_83636,CHEBI_83633,CHEBI_83633_CHEBI_83636,Enantiomers,Enantiomers,100.0
CHEBI_179984,CHEBI_179988,CHEBI_179984_CHEBI_179988,Diastereomers,Diastereomers,100.0
CHEBI_50026,CHEBI_28359,CHEBI_28359_CHEBI_50026,Enantiomers,Enantiomers,100.0
CHEBI_30904,CHEBI_36455,CHEBI_30904_CHEBI_36455,Protomers,Protomers,99.0
CHEBI_228806,CHEBI_85362,CHEBI_228806_CHEBI_85362,Protomers,Protomers,90.0
CHEBI_15862,CHEBI_566789,CHEBI_15862_CHEBI_566789,Protomers,Protomers,83.0
CHEBI_231571,CHEBI_62346,CHEBI_231571_CHEBI_62346,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_103836,CHEBI_94594,CHEBI_103836_CHEBI_94594,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_75384,CHEBI_75383,CHEBI_75383_CHEBI_75384,Enantiomers,Enantiomers,100.0
CHEBI_58284,CHEBI_17820,CHEBI_17820_CHEBI_58284,Protomers,Protomers,93.0
CHEBI_146995,CHEBI_146716,CHEBI_146716_CHEBI_146995,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_19950,CHEBI_28647,CHEBI_19950_CHEBI_28647,Protomers,Protomers,92.0
CHEBI_142853,CHEBI_142852,CHEBI_142852_CHEBI_142853,Enantiomers,Enantiomers,100.0
CHEBI_99458,CHEBI_97322,CHEBI_97322_CHEBI_99458,Diastereomers,Diastereomers,100.0
CHEBI_133812,CHEBI_134661,CHEBI_133812_CHEBI_134661,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_191705,CHEBI_214678,CHEBI_191705_CHEBI_214678,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_83645,CHEBI_83647,CHEBI_83645_CHEBI_83647,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_62029,CHEBI_62036,CHEBI_62029_CHEBI_62036,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_125791,CHEBI_127648,CHEBI_125791_CHEBI_127648,Diastereomers,Diastereomers,100.0
CHEBI_39135,CHEBI_39136,CHEBI_39135_CHEBI_39136,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_40656,CHEBI_37740,CHEBI_37740_CHEBI_40656,Enantiomers,Enantiomers,100.0
CHEBI_154741,CHEBI_153599,CHEBI_153599_CHEBI_154741,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_58698,CHEBI_44074,CHEBI_44074_CHEBI_58698,Protomers,Protomers,92.0
CHEBI_167473,CHEBI_37704,CHEBI_167473_CHEBI_37704,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_70788,CHEBI_70807,CHEBI_70788_CHEBI_70807,Protomers,Protomers,95.0
CHEBI_30897,CHEBI_15563,CHEBI_15563_CHEBI_30897,Enantiomers,Enantiomers,100.0
CHEBI_78389,CHEBI_78388,CHEBI_78388_CHEBI_78389,Enantiomers,Enantiomers,100.0
CHEBI_48674,CHEBI_48678,CHEBI_48674_CHEBI_48678,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_72777,CHEBI_72784,CHEBI_72777_CHEBI_72784,Protomers,Protomers,96.0
CHEBI_37695,CHEBI_37701,CHEBI_37695_CHEBI_37701,Enantiomers,Enantiomers,100.0
CHEBI_204797,CHEBI_226927,CHEBI_204797_CHEBI_226927,Diastereomers,Diastereomers,100.0
CHEBI_6933,CHEBI_73243,CHEBI_6933_CHEBI_73243,Protomers,Protomers,94.0
CHEBI_147438,CHEBI_147437,CHEBI_147437_CHEBI_147438,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_182337,CHEBI_71672,CHEBI_182337_CHEBI_71672,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_133849,CHEBI_133848,CHEBI_133848_CHEBI_133849,Protomers,Protomers,94.0
CHEBI_136530,CHEBI_136529,CHEBI_136529_CHEBI_136530,Enantiomers,Enantiomers,100.0
CHEBI_226495,CHEBI_226490,CHEBI_226490_CHEBI_226495,Diastereomers,Diastereomers,100.0
CHEBI_61331,CHEBI_61311,CHEBI_61311_CHEBI_61331,Protomers,Protomers,94.0
CHEBI_58911,CHEBI_55334,CHEBI_55334_CHEBI_58911,Protomers,Protomers,94.0
CHEBI_58319,CHEBI_17905,CHEBI_17905_CHEBI_58319,Protomers,Protomers,87.0
CHEBI_127106,CHEBI_127151,CHEBI_127106_CHEBI_127151,Enantiomers,Enantiomers,100.0
CHEBI_57969,CHEBI_16974,CHEBI_16974_CHEBI_57969,Protomers,Protomers,92.0
CHEBI_137509,CHEBI_137513,CHEBI_137509_CHEBI_137513,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_37547,CHEBI_37546,CHEBI_37546_CHEBI_37547,Enantiomers,Diastereomers,100.0
CHEBI_197031,CHEBI_185516,CHEBI_185516_CHEBI_197031,Stereo-resolution pairs,Stereo-resolution pairs,88.0
CHEBI_123574,CHEBI_123533,CHEBI_123533_CHEBI_123574,Diastereomers,Diastereomers,100.0
CHEBI_513,CHEBI_18904,CHEBI_18904_CHEBI_513,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_35291,CHEBI_15367,CHEBI_15367_CHEBI_35291,Protomers,Protomers,95.0
CHEBI_190525,CHEBI_7989,CHEBI_190525_CHEBI_7989,Protomers,Protomers,95.0
CHEBI_24848,CHEBI_27374,CHEBI_24848_CHEBI_27374,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_226589,CHEBI_226585,CHEBI_226585_CHEBI_226589,Diastereomers,Diastereomers,100.0
CHEBI_227584,CHEBI_213865,CHEBI_213865_CHEBI_227584,Diastereomers,Diastereomers,100.0
CHEBI_91069,CHEBI_90746,CHEBI_90746_CHEBI_91069,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_175871,CHEBI_145586,CHEBI_145586_CHEBI_175871,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_1277,CHEBI_39564,CHEBI_1277_CHEBI_39564,Diastereomers,Diastereomers,100.0
CHEBI_57734,CHEBI_58601,CHEBI_57734_CHEBI_58601,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_53763,CHEBI_53765,CHEBI_53763_CHEBI_53765,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_232459,CHEBI_232353,CHEBI_232353_CHEBI_232459,Enantiomers,Enantiomers,100.0
CHEBI_55522,CHEBI_55521,CHEBI_55521_CHEBI_55522,Protomers,Protomers,88.0
CHEBI_16872,CHEBI_52430,CHEBI_16872_CHEBI_52430,Protomers,Protomers,89.0
CHEBI_48351,CHEBI_48352,CHEBI_48351_CHEBI_48352,Enantiomers,Enantiomers,100.0
CHEBI_224849,CHEBI_224854,CHEBI_224849_CHEBI_224854,Diastereomers,Diastereomers,100.0
CHEBI_34911,CHEBI_62523,CHEBI_34911_CHEBI_62523,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_118547,CHEBI_118597,CHEBI_118547_CHEBI_118597,Diastereomers,Diastereomers,100.0
CHEBI_59290,CHEBI_59289,CHEBI_59289_CHEBI_59290,Enantiomers,Enantiomers,100.0
CHEBI_98090,CHEBI_102523,CHEBI_102523_CHEBI_98090,Diastereomers,Diastereomers,100.0
CHEBI_61747,CHEBI_61745,CHEBI_61745_CHEBI_61747,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_80050,CHEBI_192687,CHEBI_192687_CHEBI_80050,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_198651,CHEBI_206721,CHEBI_198651_CHEBI_206721,Diastereomers,Diastereomers,100.0
CHEBI_62168,CHEBI_62165,CHEBI_62165_CHEBI_62168,Stereo-resolution pairs,Stereo-resolution pairs,78.0
CHEBI_232155,CHEBI_183231,CHEBI_183231_CHEBI_232155,Stereo-resolution pairs,Stereo-resolution pairs,88.0
CHEBI_126511,CHEBI_128104,CHEBI_126511_CHEBI_128104,Diastereomers,Stereo-resolution pairs,75.0
CHEBI_154114,CHEBI_155507,CHEBI_154114_CHEBI_155507,Stereo-resolution pairs,Stereo-resolution pairs,79.0
CHEBI_32637,CHEBI_16867,CHEBI_16867_CHEBI_32637,Protomers,Protomers,89.0
CHEBI_118395,CHEBI_118433,CHEBI_118395_CHEBI_118433,Diastereomers,Diastereomers,100.0
CHEBI_150178,CHEBI_156663,CHEBI_150178_CHEBI_156663,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_9398,CHEBI_142548,CHEBI_142548_CHEBI_9398,Enantiomers,Enantiomers,100.0
CHEBI_19283,CHEBI_23837,CHEBI_19283_CHEBI_23837,Protomers,Protomers,94.0
CHEBI_233168,CHEBI_178080,CHEBI_178080_CHEBI_233168,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_61075,CHEBI_71503,CHEBI_61075_CHEBI_71503,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_61140,CHEBI_61138,CHEBI_61138_CHEBI_61140,Protomers,Protomers,90.0
CHEBI_91688,CHEBI_49040,CHEBI_49040_CHEBI_91688,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_38853,CHEBI_38860,CHEBI_38853_CHEBI_38860,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_73249,CHEBI_73247,CHEBI_73247_CHEBI_73249,Diastereomers,Diastereomers,100.0
CHEBI_79054,CHEBI_145590,CHEBI_145590_CHEBI_79054,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_108854,CHEBI_113842,CHEBI_108854_CHEBI_113842,Diastereomers,Diastereomers,100.0
CHEBI_60841,CHEBI_60843,CHEBI_60841_CHEBI_60843,Stereo-resolution pairs,Stereo-resolution pairs,86.0
CHEBI_62766,CHEBI_62765,CHEBI_62765_CHEBI_62766,Protomers,Protomers,95.0
CHEBI_218099,CHEBI_218093,CHEBI_218093_CHEBI_218099,Diastereomers,Diastereomers,76.0
CHEBI_188531,CHEBI_145927,CHEBI_145927_CHEBI_188531,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_20051,CHEBI_37032,CHEBI_20051_CHEBI_37032,Protomers,Protomers,90.0
CHEBI_57424,CHEBI_15587,CHEBI_15587_CHEBI_57424,Protomers,Protomers,85.0
CHEBI_156056,CHEBI_155913,CHEBI_155913_CHEBI_156056,Protomers,Protomers,92.0
CHEBI_34725,CHEBI_176787,CHEBI_176787_CHEBI_34725,Protomers,Protomers,86.0
CHEBI_77045,CHEBI_77044,CHEBI_77044_CHEBI_77045,Enantiomers,Enantiomers,100.0
CHEBI_15600,CHEBI_33992,CHEBI_15600_CHEBI_33992,Enantiomers,Enantiomers,100.0
CHEBI_63598,CHEBI_46577,CHEBI_46577_CHEBI_63598,Enantiomers,Enantiomers,100.0
CHEBI_233697,CHEBI_233872,CHEBI_233697_CHEBI_233872,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_87283,CHEBI_87284,CHEBI_87283_CHEBI_87284,Protomers,Protomers,99.0
CHEBI_16804,CHEBI_57902,CHEBI_16804_CHEBI_57902,Protomers,Protomers,87.0
CHEBI_101520,CHEBI_101683,CHEBI_101520_CHEBI_101683,Diastereomers,Diastereomers,100.0
CHEBI_191598,CHEBI_75667,CHEBI_191598_CHEBI_75667,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_147124,CHEBI_146042,CHEBI_146042_CHEBI_147124,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_210634,CHEBI_213076,CHEBI_210634_CHEBI_213076,Diastereomers,Diastereomers,100.0
CHEBI_189047,CHEBI_64174,CHEBI_189047_CHEBI_64174,Protomers,Protomers,93.0
CHEBI_152344,CHEBI_155645,CHEBI_152344_CHEBI_155645,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_150470,CHEBI_157454,CHEBI_150470_CHEBI_157454,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_156230,CHEBI_32918,CHEBI_156230_CHEBI_32918,Protomers,Protomers,92.0
CHEBI_113894,CHEBI_114165,CHEBI_113894_CHEBI_114165,Diastereomers,Diastereomers,100.0
CHEBI_147906,CHEBI_61836,CHEBI_147906_CHEBI_61836,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_130443,CHEBI_127601,CHEBI_127601_CHEBI_130443,Diastereomers,Diastereomers,100.0
CHEBI_199254,CHEBI_221588,CHEBI_199254_CHEBI_221588,Diastereomers,Diastereomers,100.0
CHEBI_143083,CHEBI_29737,CHEBI_143083_CHEBI_29737,Enantiomers,Enantiomers,100.0
CHEBI_57783,CHEBI_16474,CHEBI_16474_CHEBI_57783,Protomers,Protomers,95.0
CHEBI_32820,CHEBI_16857,CHEBI_16857_CHEBI_32820,Protomers,Protomers,87.0
CHEBI_58245,CHEBI_17713,CHEBI_17713_CHEBI_58245,Protomers,Protomers,96.0
CHEBI_86994,CHEBI_90099,CHEBI_86994_CHEBI_90099,Protomers,Protomers,84.0
CHEBI_118577,CHEBI_118621,CHEBI_118577_CHEBI_118621,Diastereomers,Diastereomers,100.0
CHEBI_133751,CHEBI_86612,CHEBI_133751_CHEBI_86612,Protomers,Protomers,94.0
CHEBI_77600,CHEBI_38565,CHEBI_38565_CHEBI_77600,Protomers,Protomers,96.0
CHEBI_81636,CHEBI_81635,CHEBI_81635_CHEBI_81636,Diastereomers,Diastereomers,100.0
CHEBI_147438,CHEBI_147436,CHEBI_147436_CHEBI_147438,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_58474,CHEBI_18400,CHEBI_18400_CHEBI_58474,Protomers,Protomers,86.0
CHEBI_143557,CHEBI_145321,CHEBI_143557_CHEBI_145321,Protomers,Protomers,94.0
CHEBI_175524,CHEBI_48938,CHEBI_175524_CHEBI_48938,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_87093,CHEBI_87092,CHEBI_87092_CHEBI_87093,Protomers,Protomers,93.0
CHEBI_139391,CHEBI_139390,CHEBI_139390_CHEBI_139391,Diastereomers,Diastereomers,100.0
CHEBI_192378,CHEBI_49336,CHEBI_192378_CHEBI_49336,Enantiomers,Enantiomers,100.0
CHEBI_230570,CHEBI_188992,CHEBI_188992_CHEBI_230570,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_37319,CHEBI_18355,CHEBI_18355_CHEBI_37319,Protomers,Protomers,90.0
CHEBI_17929,CHEBI_58326,CHEBI_17929_CHEBI_58326,Protomers,Protomers,84.0
CHEBI_78012,CHEBI_78011,CHEBI_78011_CHEBI_78012,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_3084,CHEBI_59260,CHEBI_3084_CHEBI_59260,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_139076,CHEBI_139081,CHEBI_139076_CHEBI_139081,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_120250,CHEBI_120097,CHEBI_120097_CHEBI_120250,Diastereomers,Diastereomers,100.0
CHEBI_83831,CHEBI_83830,CHEBI_83830_CHEBI_83831,Enantiomers,Enantiomers,100.0
CHEBI_190393,CHEBI_193521,CHEBI_190393_CHEBI_193521,Protomers,Protomers,88.0
CHEBI_58056,CHEBI_17207,CHEBI_17207_CHEBI_58056,Protomers,Protomers,84.0
CHEBI_70791,CHEBI_52490,CHEBI_52490_CHEBI_70791,Protomers,Protomers,94.0
CHEBI_34974,CHEBI_9112,CHEBI_34974_CHEBI_9112,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_75468,CHEBI_75558,CHEBI_75468_CHEBI_75558,Enantiomers,Enantiomers,100.0
CHEBI_37715,CHEBI_37729,CHEBI_37715_CHEBI_37729,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_181036,CHEBI_75644,CHEBI_181036_CHEBI_75644,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_217977,CHEBI_198590,CHEBI_198590_CHEBI_217977,Diastereomers,Diastereomers,100.0
CHEBI_122422,CHEBI_122359,CHEBI_122359_CHEBI_122422,Diastereomers,Diastereomers,100.0
CHEBI_16292,CHEBI_17100,CHEBI_16292_CHEBI_17100,Enantiomers,Enantiomers,100.0
CHEBI_123557,CHEBI_123502,CHEBI_123502_CHEBI_123557,Diastereomers,Diastereomers,100.0
CHEBI_83658,CHEBI_83659,CHEBI_83658_CHEBI_83659,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_71556,CHEBI_71614,CHEBI_71556_CHEBI_71614,Diastereomers,Stereo-resolution pairs,100.0
CHEBI_224255,CHEBI_206781,CHEBI_206781_CHEBI_224255,Diastereomers,Diastereomers,100.0
CHEBI_153357,CHEBI_154383,CHEBI_153357_CHEBI_154383,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_35661,CHEBI_7,CHEBI_35661_CHEBI_7,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_212959,CHEBI_211038,CHEBI_211038_CHEBI_212959,Diastereomers,Diastereomers,100.0
CHEBI_127087,CHEBI_128967,CHEBI_127087_CHEBI_128967,Diastereomers,Diastereomers,100.0
CHEBI_201797,CHEBI_183933,CHEBI_183933_CHEBI_201797,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_190007,CHEBI_190006,CHEBI_190006_CHEBI_190007,Enantiomers,Enantiomers,100.0
CHEBI_58026,CHEBI_17136,CHEBI_17136_CHEBI_58026,Protomers,Protomers,92.0
CHEBI_71053,CHEBI_151338,CHEBI_151338_CHEBI_71053,Stereo-resolution pairs,Stereo-resolution pairs,79.0
CHEBI_84006,CHEBI_84007,CHEBI_84006_CHEBI_84007,Enantiomers,Enantiomers,100.0
CHEBI_12387,CHEBI_6220,CHEBI_12387_CHEBI_6220,Diastereomers,Diastereomers,100.0
CHEBI_142944,CHEBI_142946,CHEBI_142944_CHEBI_142946,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_143194,CHEBI_49533,CHEBI_143194_CHEBI_49533,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_177569,CHEBI_184845,CHEBI_177569_CHEBI_184845,Diastereomers,Diastereomers,81.0
CHEBI_232659,CHEBI_233067,CHEBI_232659_CHEBI_233067,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_84847,CHEBI_86983,CHEBI_84847_CHEBI_86983,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_73472,CHEBI_180898,CHEBI_180898_CHEBI_73472,Protomers,Protomers,93.0
CHEBI_17762,CHEBI_16074,CHEBI_16074_CHEBI_17762,Diastereomers,Diastereomers,100.0
CHEBI_131520,CHEBI_131517,CHEBI_131517_CHEBI_131520,Enantiomers,Enantiomers,100.0
CHEBI_192557,CHEBI_192555,CHEBI_192555_CHEBI_192557,Protomers,Protomers,97.0
CHEBI_62030,CHEBI_62039,CHEBI_62030_CHEBI_62039,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_44964,CHEBI_43422,CHEBI_43422_CHEBI_44964,Enantiomers,Enantiomers,100.0
CHEBI_64001,CHEBI_64000,CHEBI_64000_CHEBI_64001,Protomers,Protomers,91.0
CHEBI_58201,CHEBI_17601,CHEBI_17601_CHEBI_58201,Protomers,Protomers,91.0
CHEBI_60778,CHEBI_60779,CHEBI_60778_CHEBI_60779,Enantiomers,Enantiomers,100.0
CHEBI_59329,CHEBI_59328,CHEBI_59328_CHEBI_59329,Enantiomers,Enantiomers,100.0
CHEBI_75542,CHEBI_64757,CHEBI_64757_CHEBI_75542,Enantiomers,Enantiomers,100.0
CHEBI_132127,CHEBI_75233,CHEBI_132127_CHEBI_75233,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_227393,CHEBI_206634,CHEBI_206634_CHEBI_227393,Diastereomers,Diastereomers,100.0
CHEBI_172392,CHEBI_166724,CHEBI_166724_CHEBI_172392,Protomers,Protomers,94.0
CHEBI_169578,CHEBI_16405,CHEBI_16405_CHEBI_169578,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_118506,CHEBI_118258,CHEBI_118258_CHEBI_118506,Diastereomers,Diastereomers,100.0
CHEBI_101461,CHEBI_97659,CHEBI_101461_CHEBI_97659,Diastereomers,Diastereomers,100.0
CHEBI_130333,CHEBI_129520,CHEBI_129520_CHEBI_130333,Diastereomers,Diastereomers,100.0
CHEBI_66953,CHEBI_18130,CHEBI_18130_CHEBI_66953,Stereo-resolution pairs,Stereo-resolution pairs,92.0
CHEBI_57519,CHEBI_15802,CHEBI_15802_CHEBI_57519,Protomers,Protomers,94.0
CHEBI_155601,CHEBI_154249,CHEBI_154249_CHEBI_155601,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_148141,CHEBI_147526,CHEBI_147526_CHEBI_148141,Stereo-resolution pairs,Stereo-resolution pairs,76.0
CHEBI_63611,CHEBI_63699,CHEBI_63611_CHEBI_63699,Protomers,Protomers,100.0
CHEBI_36538,CHEBI_1135,CHEBI_1135_CHEBI_36538,Protomers,Protomers,94.0
CHEBI_207843,CHEBI_201964,CHEBI_201964_CHEBI_207843,Diastereomers,Diastereomers,100.0
CHEBI_95219,CHEBI_31902,CHEBI_31902_CHEBI_95219,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_213390,CHEBI_198501,CHEBI_198501_CHEBI_213390,Diastereomers,Stereo-resolution pairs,98.0
CHEBI_126014,CHEBI_130335,CHEBI_126014_CHEBI_130335,Diastereomers,Diastereomers,100.0
CHEBI_217865,CHEBI_217870,CHEBI_217865_CHEBI_217870,Diastereomers,Diastereomers,100.0
CHEBI_30265,CHEBI_48790,CHEBI_30265_CHEBI_48790,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_167841,CHEBI_34138,CHEBI_167841_CHEBI_34138,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_38229,CHEBI_38240,CHEBI_38229_CHEBI_38240,Diastereomers,Diastereomers,100.0
CHEBI_98736,CHEBI_97570,CHEBI_97570_CHEBI_98736,Diastereomers,Diastereomers,100.0
CHEBI_32623,CHEBI_28225,CHEBI_28225_CHEBI_32623,Protomers,Protomers,90.0
CHEBI_219543,CHEBI_220307,CHEBI_219543_CHEBI_220307,Diastereomers,Diastereomers,100.0
CHEBI_118505,CHEBI_118346,CHEBI_118346_CHEBI_118505,Diastereomers,Diastereomers,100.0
CHEBI_175156,CHEBI_76089,CHEBI_175156_CHEBI_76089,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_180310,CHEBI_180308,CHEBI_180308_CHEBI_180310,Diastereomers,Diastereomers,81.0
CHEBI_15676,CHEBI_15678,CHEBI_15676_CHEBI_15678,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_16723,CHEBI_33574,CHEBI_16723_CHEBI_33574,Protomers,Protomers,91.0
CHEBI_129260,CHEBI_130113,CHEBI_129260_CHEBI_130113,Diastereomers,Diastereomers,100.0
CHEBI_229232,CHEBI_229230,CHEBI_229230_CHEBI_229232,Protomers,Protomers,97.0
CHEBI_142232,CHEBI_141996,CHEBI_141996_CHEBI_142232,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_133187,CHEBI_133189,CHEBI_133187_CHEBI_133189,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_143353,CHEBI_16704,CHEBI_143353_CHEBI_16704,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_18387,CHEBI_48427,CHEBI_18387_CHEBI_48427,Protomers,Protomers,87.0
CHEBI_181568,CHEBI_181934,CHEBI_181568_CHEBI_181934,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_145350,CHEBI_145348,CHEBI_145348_CHEBI_145350,Diastereomers,Diastereomers,100.0
CHEBI_60298,CHEBI_153194,CHEBI_153194_CHEBI_60298,Stereo-resolution pairs,Stereo-resolution pairs,76.0
CHEBI_143142,CHEBI_155615,CHEBI_143142_CHEBI_155615,Stereo-resolution pairs,Stereo-resolution pairs,76.0
CHEBI_178140,CHEBI_141137,CHEBI_141137_CHEBI_178140,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_96091,CHEBI_95895,CHEBI_95895_CHEBI_96091,Diastereomers,Diastereomers,100.0
CHEBI_104546,CHEBI_104506,CHEBI_104506_CHEBI_104546,Diastereomers,Diastereomers,100.0
CHEBI_125402,CHEBI_4903,CHEBI_125402_CHEBI_4903,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_154540,CHEBI_178030,CHEBI_154540_CHEBI_178030,Stereo-resolution pairs,Stereo-resolution pairs,75.0
CHEBI_172925,CHEBI_194028,CHEBI_172925_CHEBI_194028,Diastereomers,Diastereomers,100.0
CHEBI_36501,CHEBI_16508,CHEBI_16508_CHEBI_36501,Protomers,Protomers,92.0
CHEBI_154502,CHEBI_68439,CHEBI_154502_CHEBI_68439,Stereo-resolution pairs,Stereo-resolution pairs,79.0
CHEBI_152599,CHEBI_148137,CHEBI_148137_CHEBI_152599,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_34543,CHEBI_194507,CHEBI_194507_CHEBI_34543,Protomers,Protomers,84.0
CHEBI_77796,CHEBI_77794,CHEBI_77794_CHEBI_77796,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_64774,CHEBI_64773,CHEBI_64773_CHEBI_64774,Enantiomers,Enantiomers,100.0
CHEBI_137720,CHEBI_137701,CHEBI_137701_CHEBI_137720,Diastereomers,Diastereomers,100.0
CHEBI_134199,CHEBI_134198,CHEBI_134198_CHEBI_134199,Enantiomers,Enantiomers,100.0
CHEBI_140722,CHEBI_28580,CHEBI_140722_CHEBI_28580,Protomers,Protomers,89.0
CHEBI_199593,CHEBI_204011,CHEBI_199593_CHEBI_204011,Diastereomers,Diastereomers,76.0
CHEBI_219247,CHEBI_219252,CHEBI_219247_CHEBI_219252,Diastereomers,Diastereomers,100.0
CHEBI_208601,CHEBI_226741,CHEBI_208601_CHEBI_226741,Diastereomers,Diastereomers,100.0
CHEBI_118698,CHEBI_118610,CHEBI_118610_CHEBI_118698,Diastereomers,Diastereomers,100.0
CHEBI_189201,CHEBI_95168,CHEBI_189201_CHEBI_95168,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_57513,CHEBI_15784,CHEBI_15784_CHEBI_57513,Protomers,Protomers,94.0
CHEBI_17162,CHEBI_30820,CHEBI_17162_CHEBI_30820,Protomers,Protomers,91.0
CHEBI_196285,CHEBI_196284,CHEBI_196284_CHEBI_196285,Diastereomers,Diastereomers,100.0
CHEBI_152556,CHEBI_151369,CHEBI_151369_CHEBI_152556,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_127898,CHEBI_127794,CHEBI_127794_CHEBI_127898,Diastereomers,Diastereomers,100.0
CHEBI_231938,CHEBI_62075,CHEBI_231938_CHEBI_62075,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_154925,CHEBI_61758,CHEBI_154925_CHEBI_61758,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_77032,CHEBI_77040,CHEBI_77032_CHEBI_77040,Protomers,Protomers,89.0
CHEBI_15766,CHEBI_57505,CHEBI_15766_CHEBI_57505,Protomers,Protomers,81.0
