id1,id2,pair_id,true_class,predicted_class,score_S
CHEBI_71635,CHEBI_71653,CHEBI_71635_CHEBI_71653,Protomers,Protomers,95.0
CHEBI_137455,CHEBI_63322,CHEBI_137455_CHEBI_63322,Enantiomers,Enantiomers,100.0
CHEBI_211559,CHEBI_200444,CHEBI_200444_CHEBI_211559,Diastereomers,Diastereomers,100.0
CHEBI_62043,CHEBI_45352,CHEBI_45352_CHEBI_62043,Diastereomers,Diastereomers,100.0
CHEBI_211767,CHEBI_211773,CHEBI_211767_CHEBI_211773,Diastereomers,Diastereomers,100.0
CHEBI_57472,CHEBI_15682,CHEBI_15682_CHEBI_57472,Protomers,Protomers,83.0
CHEBI_177499,CHEBI_191244,CHEBI_177499_CHEBI_191244,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_134268,CHEBI_17352,CHEBI_134268_CHEBI_17352,Enantiomers,Enantiomers,100.0
CHEBI_83711,CHEBI_83712,CHEBI_83711_CHEBI_83712,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_57917,CHEBI_16836,CHEBI_16836_CHEBI_57917,Protomers,Protomers,90.0
CHEBI_148545,CHEBI_157093,CHEBI_148545_CHEBI_157093,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_228605,CHEBI_200194,CHEBI_200194_CHEBI_228605,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_58020,CHEBI_17123,CHEBI_17123_CHEBI_58020,Protomers,Protomers,88.0
CHEBI_6331,CHEBI_21285,CHEBI_21285_CHEBI_6331,Protomers,Protomers,82.0
CHEBI_59987,CHEBI_59286,CHEBI_59286_CHEBI_59987,Diastereomers,Diastereomers,100.0
CHEBI_93572,CHEBI_16794,CHEBI_16794_CHEBI_93572,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_186138,CHEBI_185828,CHEBI_185828_CHEBI_186138,Diastereomers,Diastereomers,100.0
CHEBI_165330,CHEBI_165323,CHEBI_165323_CHEBI_165330,Diastereomers,Diastereomers,100.0
CHEBI_28023,CHEBI_231434,CHEBI_231434_CHEBI_28023,Diastereomers,Diastereomers,100.0
CHEBI_139148,CHEBI_167052,CHEBI_139148_CHEBI_167052,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_184387,CHEBI_75175,CHEBI_184387_CHEBI_75175,Protomers,Protomers,94.0
CHEBI_70793,CHEBI_70820,CHEBI_70793_CHEBI_70820,Protomers,Protomers,95.0
CHEBI_225165,CHEBI_225172,CHEBI_225165_CHEBI_225172,Diastereomers,Diastereomers,100.0
CHEBI_214220,CHEBI_199551,CHEBI_199551_CHEBI_214220,Diastereomers,Diastereomers,100.0
CHEBI_100353,CHEBI_100432,CHEBI_100353_CHEBI_100432,Diastereomers,Diastereomers,100.0
CHEBI_64998,CHEBI_65011,CHEBI_64998_CHEBI_65011,Protomers,Protomers,90.0
CHEBI_184582,CHEBI_176154,CHEBI_176154_CHEBI_184582,Diastereomers,Diastereomers,100.0
CHEBI_180999,CHEBI_44678,CHEBI_180999_CHEBI_44678,Stereo-resolution pairs,Stereo-resolution pairs,86.0
CHEBI_218489,CHEBI_216303,CHEBI_216303_CHEBI_218489,Diastereomers,Diastereomers,100.0
CHEBI_102658,CHEBI_112965,CHEBI_102658_CHEBI_112965,Diastereomers,Diastereomers,100.0
CHEBI_143781,CHEBI_143780,CHEBI_143780_CHEBI_143781,Enantiomers,Enantiomers,100.0
CHEBI_136411,CHEBI_136410,CHEBI_136410_CHEBI_136411,Enantiomers,Enantiomers,100.0
CHEBI_78832,CHEBI_57409,CHEBI_57409_CHEBI_78832,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_67615,CHEBI_67616,CHEBI_67615_CHEBI_67616,Diastereomers,Diastereomers,100.0
CHEBI_176846,CHEBI_176847,CHEBI_176846_CHEBI_176847,Diastereomers,Diastereomers,100.0
CHEBI_139072,CHEBI_8614,CHEBI_139072_CHEBI_8614,Protomers,Protomers,88.0
CHEBI_224481,CHEBI_207717,CHEBI_207717_CHEBI_224481,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_231553,CHEBI_63598,CHEBI_231553_CHEBI_63598,Protomers,Protomers,96.0
CHEBI_47006,CHEBI_47010,CHEBI_47006_CHEBI_47010,Enantiomers,Enantiomers,100.0
CHEBI_200475,CHEBI_204206,CHEBI_200475_CHEBI_204206,Diastereomers,Diastereomers,100.0
CHEBI_138311,CHEBI_138310,CHEBI_138310_CHEBI_138311,Enantiomers,Enantiomers,100.0
CHEBI_30847,CHEBI_30846,CHEBI_30846_CHEBI_30847,Protomers,Protomers,91.0
CHEBI_90141,CHEBI_126432,CHEBI_126432_CHEBI_90141,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_83746,CHEBI_83863,CHEBI_83746_CHEBI_83863,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_7027,CHEBI_44312,CHEBI_44312_CHEBI_7027,Stereo-resolution pairs,Stereo-resolution pairs,80.0
CHEBI_87055,CHEBI_87293,CHEBI_87055_CHEBI_87293,Protomers,Protomers,96.0
CHEBI_176344,CHEBI_165420,CHEBI_165420_CHEBI_176344,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_189129,CHEBI_68881,CHEBI_189129_CHEBI_68881,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_52615,CHEBI_146131,CHEBI_146131_CHEBI_52615,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_4208,CHEBI_28729,CHEBI_28729_CHEBI_4208,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_184750,CHEBI_192814,CHEBI_184750_CHEBI_192814,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_53676,CHEBI_3508,CHEBI_3508_CHEBI_53676,Protomers,Protomers,98.0
CHEBI_90259,CHEBI_91122,CHEBI_90259_CHEBI_91122,Diastereomers,Diastereomers,100.0
CHEBI_168617,CHEBI_37573,CHEBI_168617_CHEBI_37573,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_220914,CHEBI_220947,CHEBI_220914_CHEBI_220947,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_30762,CHEBI_16914,CHEBI_16914_CHEBI_30762,Protomers,Protomers,90.0
CHEBI_3240,CHEBI_59288,CHEBI_3240_CHEBI_59288,Stereo-resolution pairs,Stereo-resolution pairs,100.0
CHEBI_233017,CHEBI_175131,CHEBI_175131_CHEBI_233017,Stereo-resolution pairs,Stereo-resolution pairs,100.0
