id1,id2,pair_id,true_class,predicted_class,score_S,true_norm,pred_norm
CHEBI_32304,CHEBI_91126,CHEBI_32304_CHEBI_91126,Diastereomers,Stereo-resolution pairs,85.0,diastereomer,stereo_resolution
CHEBI_95602,CHEBI_112466,CHEBI_112466_CHEBI_95602,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_126851,CHEBI_126906,CHEBI_126851_CHEBI_126906,Diastereomers,Stereo-resolution pairs,81.0,diastereomer,stereo_resolution
CHEBI_128403,CHEBI_131321,CHEBI_128403_CHEBI_131321,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_113613,CHEBI_113576,CHEBI_113576_CHEBI_113613,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_211436,CHEBI_211442,CHEBI_211436_CHEBI_211442,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_130254,CHEBI_127193,CHEBI_127193_CHEBI_130254,Diastereomers,Stereo-resolution pairs,87.0,diastereomer,stereo_resolution
CHEBI_208279,CHEBI_216014,CHEBI_208279_CHEBI_216014,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_100078,CHEBI_101698,CHEBI_100078_CHEBI_101698,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_130766,CHEBI_129259,CHEBI_129259_CHEBI_130766,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_111601,CHEBI_124236,CHEBI_111601_CHEBI_124236,Diastereomers,Stereo-resolution pairs,81.0,diastereomer,stereo_resolution
CHEBI_126180,CHEBI_129482,CHEBI_126180_CHEBI_129482,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_96528,CHEBI_95608,CHEBI_95608_CHEBI_96528,Diastereomers,Stereo-resolution pairs,78.0,diastereomer,stereo_resolution
CHEBI_133755,CHEBI_133754,CHEBI_133754_CHEBI_133755,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_223297,CHEBI_223302,CHEBI_223297_CHEBI_223302,Diastereomers,Stereo-resolution pairs,79.0,diastereomer,stereo_resolution
CHEBI_130244,CHEBI_125993,CHEBI_125993_CHEBI_130244,Diastereomers,Stereo-resolution pairs,76.0,diastereomer,stereo_resolution
CHEBI_79924,CHEBI_79826,CHEBI_79826_CHEBI_79924,Diastereomers,Stereo-resolution pairs,100.0,diastereomer,stereo_resolution
CHEBI_221090,CHEBI_210209,CHEBI_210209_CHEBI_221090,Diastereomers,Stereo-resolution pairs,80.0,diastereomer,stereo_resolution
CHEBI_128830,CHEBI_130709,CHEBI_128830_CHEBI_130709,Diastereomers,Stereo-resolution pairs,77.0,diastereomer,stereo_resolution
CHEBI_147063,CHEBI_152787,CHEBI_147063_CHEBI_152787,Diastereomers,Stereo-resolution pairs,75.0,diastereomer,stereo_resolution
CHEBI_126987,CHEBI_128776,CHEBI_126987_CHEBI_128776,Diastereomers,Stereo-resolution pairs,89.0,diastereomer,stereo_resolution
CHEBI_132905,CHEBI_156223,CHEBI_132905_CHEBI_156223,Diastereomers,Stereo-resolution pairs,85.0,diastereomer,stereo_resolution
