cluster_id	member_curie	identity_key_strict	molfile_key	molfile_path	raw_canonical_smiles	formula	formal_charge	rdkit_canonical_tautomer
1	CHEBI_80858	C=C1C[C@](OC)([C@H](O)C(=O)N[C@H]2OCO[C@H]3[C@@H]2OC(C[C@@H](CO)OC)C(C)(C)[C@@H]3OC)O[C@H](C)[C@@H]1C	CHEBI_80858	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_80858.sdf	[H][C@]12OC(C[C@@H](CO)OC)C(C)(C)[C@H](OC)[C@@]1([H])OCO[C@@H]2NC(=O)[C@@H](O)[C@@]1(OC)CC(=C)[C@@H](C)[C@@H](C)O1	C25H43NO10	0.0	[H][C@]12OC(C[C@@H](CO)OC)C(C)(C)[C@H](OC)[C@@]1([H])OCO[C@@H]2NC(=O)C(O)[C@@]1(OC)CC(=C)[C@@H](C)[C@@H](C)O1
2	CHEBI_17994	O=P(O)(O)OC[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O	CHEBI_17994	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_17994.sdf	O=P(O)(O)OC[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O	C5H12O11P2	0.0	O=P(O)(O)OC[C@H]1OC(OP(=O)(O)O)[C@H](O)[C@@H]1O
3	CHEBI_68819	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O	CHEBI_68819	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_68819.sdf	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O	C5H12O11P2	0.0	O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)O)[C@H](O)[C@@H]1O
4	r15bp	O=P([O-])([O-])OCC1OC(OP(=O)([O-])[O-])C(O)C1O	R15BP					
5	CHEBI_58345	O=P([O-])([O-])OC[C@H]1OC(OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	CHEBI_58345	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_58345.sdf	O=P([O-])([O-])OC[C@H]1OC(OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	C5H8O11P2-4	-4.0	O=P([O-])([O-])OC[C@H]1OC(OP(=O)([O-])[O-])[C@H](O)[C@@H]1O
6	CHEBI_68688	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	CHEBI_68688	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_68688.sdf	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O	C5H8O11P2-4	-4.0	O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])[O-])[C@H](O)[C@@H]1O
7	CHEBI_220580	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(O)cc46)CO[C@@H](C)[C@H]5O)c2c1)[C@H](O)[C@H](C)OC3	CHEBI_220580	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_220580.sdf	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(O)cc46)CO[C@@H](C)[C@H]5O)c2c1)[C@H](O)[C@H](C)OC3	C31H32O10	0.0	COc1cc(OC)c2c(O)c3c(c(-c4c5c(c(O)c6c(OC)cc(O)cc46)CO[C@@H](C)[C@H]5O)c2c1)[C@H](O)[C@H](C)OC3
8	CHEBI_124608	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@@H]1CN(C)C(=O)Nc1ccc(F)cc1	CHEBI_124608	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_124608.sdf	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@@H]1CN(C)C(=O)Nc1ccc(F)cc1	C27H33FN4O5	0.0	C[C@@H]1CN([C@@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@@H]1CN(C)C(=O)Nc1ccc(F)cc1
9	CHEBI_124583	C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@H]1CN(C)C(=O)Nc1ccc(F)cc1	CHEBI_124583	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_124583.sdf	C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@H]1CN(C)C(=O)Nc1ccc(F)cc1	C27H33FN4O5	0.0	C[C@@H]1CN([C@H](C)CO)C(=O)c2cccc(NC(=O)C3CC3)c2O[C@H]1CN(C)C(=O)Nc1ccc(F)cc1
10	CHEBI_124427	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc2c(NC(=O)C3CC3)cccc2C1=O	CHEBI_124427	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_124427.sdf	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc2c(NC(=O)C3CC3)cccc2C1=O	C27H33FN4O5	0.0	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccc(F)cc2)Oc2c(NC(=O)C3CC3)cccc2C1=O
11	CHEBI_179970	CCCCCCCCCCCCCCCOC(C)=O	CHEBI_179970	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_179970.sdf	CCCCCCCCCCCCCCCOC(C)=O	C17H34O2	0.0	CCCCCCCCCCCCCCCOC(C)=O
12	CHEBI_200904	CC(C)CCCC1CC(=O)NC(CO)C(=O)NC(C(O)C(N)=O)C(=O)NC(CO)C(=O)NCCC(=O)N(C)C(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(CCCN)C(=O)NC(CCC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCN)C(=O)N(C)C(C(C)C)C(=O)O1	CHEBI_200904	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_200904.sdf	CC(C)CCCC1CC(=O)NC(CO)C(=O)NC(C(O)C(N)=O)C(=O)NC(CO)C(=O)NCCC(=O)N(C)C(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(CCCN)C(=O)NC(CCC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCN)C(=O)N(C)C(C(C)C)C(=O)O1	C74H113N17O21	0.0	CC(C)CCCC1CC(=O)NC(CO)C(=O)NC(C(O)C(N)=O)C(=O)NC(CO)C(=O)NCCC(=O)N(C)C(Cc2ccccc2)C(=O)NC(CC(C)C)C(=O)NC(CCCN)C(=O)NC(CCC(=O)O)C(=O)NC(CC(N)=O)C(=O)NC(Cc2c[nH]c3ccccc23)C(=O)NC(CCCN)C(=O)N(C)C(C(C)C)C(=O)O1
13	CHEBI_53110	O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21	CHEBI_53110	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_53110.sdf	O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21	C20H15N3O2	0.0	O=C1NC(=O)c2cc(Nc3ccccc3)c(Nc3ccccc3)cc21
14	CHEBI_175328	COc1cc2oc3c(O)ccc(O)c3c(=O)c2c(O)c1CC=C(C)C	CHEBI_175328	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_175328.sdf	COc1cc2oc3c(O)ccc(O)c3c(=O)c2c(O)c1CC=C(C)C	C19H18O6	0.0	COc1cc2oc3c(O)ccc(O)c3c(=O)c2c(O)c1CC=C(C)C
15	CHEBI_95082	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	CHEBI_95082	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_95082.sdf	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21	C22H22ClN5O2	0.0	CCNC(=O)C[C@@H]1N=C(c2ccc(Cl)cc2)c2cc(OC)ccc2-n2c(C)nnc21
16	CHEBI_76212	c1ccc(C(c2ccccc2)c2ccccc2)cc1	CHEBI_76212	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_76212.sdf	c1ccc(C(c2ccccc2)c2ccccc2)cc1	C19H16	0.0	c1ccc(C(c2ccccc2)c2ccccc2)cc1
17	CHEBI_85124	COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1	CHEBI_85124	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_85124.sdf	COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1	C19H18O7	0.0	COc1cc(OC)c2c(=O)c(O)c(-c3ccc(OC)c(OC)c3)oc2c1
18	CHEBI_69547	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCc1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1	CHEBI_69547	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_69547.sdf	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCc1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1	C36H46O5	0.0	CCCCC/C=C\C/C=C\CCCCCCCC(=O)OCCCc1ccc2oc(-c3ccc4c(c3)OCO4)cc2c1
19	CHEBI_163441	CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)CO)C(=O)O	CHEBI_163441	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_163441.sdf	CSCC[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](N)CO)C(=O)O	C11H21N3O6S	0.0	CSCCC(NC(=O)C(CO)NC(=O)C(N)CO)C(=O)O
20	CHEBI_174903	CN1CC[C@]23c4c5ccc(O)c4O[C@H]2[C@H](O)CC[C@@]3(O)[C@H]1C5	CHEBI_174903	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_174903.sdf	[H][C@@]12Oc3c(O)ccc4c3[C@@]13CCN(C)[C@]([H])(C4)[C@]3(O)CC[C@H]2O	C17H21NO4	0.0	[H][C@@]12Oc3c(O)ccc4c3[C@@]13CCN(C)[C@]([H])(C4)[C@]3(O)CC[C@H]2O
21	CHEBI_89526	Cc1coc(C)c1	CHEBI_89526	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_89526.sdf	Cc1coc(C)c1	C6H8O	0.0	Cc1coc(C)c1
22	CHEBI_205944	CC[C@H]1CC/C(=C2\C(=O)O[C@H](C)C2=O)O1	CHEBI_205944	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_205944.sdf	CC[C@H]1CC/C(=C2\C(=O)O[C@H](C)C2=O)O1	C11H14O4	0.0	CC[C@H]1CC=C(c2c(O)oc(C)c2O)O1
23	CHEBI_31480	CCN(CC)CCOC(=O)CC(O)(c1ccccc1)c1ccccc1.Cl	CHEBI_31480	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_31480.sdf	CCN(CC)CCOC(=O)CC(O)(c1ccccc1)c1ccccc1.Cl	C21H28ClNO3	0.0	CCN(CC)CCOC(=O)CC(O)(c1ccccc1)c1ccccc1.Cl
24	CHEBI_189149	OP(O)(O)(O)O	CHEBI_189149	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_189149.sdf	OP(O)(O)(O)O	H5O5P	0.0	OP(O)(O)(O)O
25	CHEBI_199144	C=C(NC(=O)C(=C)NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)-c2csc(n2)C2C(C)CC(O)N2C(=O)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C(Cc2ccccc2)NC(=O)c2csc(n2)C(CC(N)=O)NC(=O)c2nc-3oc2C)n1)C(=O)O	CHEBI_199144	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_199144.sdf	C=C(NC(=O)C(=C)NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)-c2csc(n2)C2C(C)CC(O)N2C(=O)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C(Cc2ccccc2)NC(=O)c2csc(n2)C(CC(N)=O)NC(=O)c2nc-3oc2C)n1)C(=O)O	C59H52N14O12S5	0.0	CC(=NC(=O)C(C)=NC(=O)c1csc(-c2ccc3c(n2)-c2csc(n2)-c2csc(n2)C2C(C)CC(O)N2C(=O)C(Cc2ccc(O)cc2)NC(=O)C2CSC(=N2)C(Cc2ccccc2)NC(=O)c2csc(n2)C(CC(N)=O)NC(=O)c2nc-3oc2C)n1)C(=O)O
26	CHEBI_92059	O=C1NCCCc2c1oc1ccc(O)cc21	CHEBI_92059	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_92059.sdf	O=C1NCCCc2c1oc1ccc(O)cc21	C12H11NO3	0.0	O=C1NCCCc2c1oc1ccc(O)cc21
27	CHEBI_180695	Cl.Cl.O.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1	CHEBI_180695	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_180695.sdf	Cl.Cl.O.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1	C28H38Cl2N6O5S2	0.0	Cl.Cl.O.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1.O=S(=O)(c1cccc2cnccc12)N1CCCNCC1
28	CHEBI_109746	O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCCCC1	CHEBI_109746	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_109746.sdf	O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCCCC1	C11H14N2O4S	0.0	O=[N+]([O-])c1ccccc1S(=O)(=O)N1CCCCC1
29	CHEBI_108088	CCOC(=O)C(CC)Sc1ncnc2c1nnn2-c1ccc(F)cc1	CHEBI_108088	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_108088.sdf	CCOC(=O)C(CC)Sc1ncnc2c1nnn2-c1ccc(F)cc1	C16H16FN5O2S	0.0	CCOC(=O)C(CC)Sc1ncnc2c1nnn2-c1ccc(F)cc1
30	CHEBI_92874	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O	CHEBI_92874	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_92874.sdf	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O	C17H25ClN2O3	0.0	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1O
31	CHEBI_188152	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCC[NH+]2CC)c1O	CHEBI_188152	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_188152.sdf	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCC[NH+]2CC)c1O	C17H26ClN2O3+	1.0	CCc1cc(Cl)c(OC)c(C(=O)NC[C@@H]2CCC[NH+]2CC)c1O
32	CHEBI_37276	O=C(O)CC1(O)CCCCC1	CHEBI_37276	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_37276.sdf	O=C(O)CC1(O)CCCCC1	C8H14O3	0.0	O=C(O)CC1(O)CCCCC1
33	CHEBI_83359	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCCCCCC	CHEBI_83359	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_83359.sdf	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCCCCCC	C43H87N2O6P	0.0	CCCCCCCCCCCCC/C=C/[C@@H](O)[C@H](COP(=O)([O-])OCC[N+](C)(C)C)NC(=O)CCCCCCCCCCCCCCCCCCC
34	sphmyln18120_hs	CCCCCCCCCCCCCC=CC(O)C(COP(=O)(O)OCC[N+](C)(C)C)N=C(O)CCCCCCCCCCCCCCCCCCC	SPHMYLN18120_HS					
35	CHEBI_188338	COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12	CHEBI_188338	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_188338.sdf	COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12	C19H18O4	0.0	COc1c(C(=O)CC(OC)c2ccccc2)ccc2occc12
36	CHEBI_116603	COc1ccc(C2=CC(c3ccc(OC)c(OC)c3)N3NN=NC3=N2)c(OC)c1	CHEBI_116603	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_116603.sdf	COc1ccc(C2=CC(c3ccc(OC)c(OC)c3)N3NN=NC3=N2)c(OC)c1	C20H21N5O4	0.0	COc1ccc(C2=Nc3nnnn3C(c3ccc(OC)c(OC)c3)C2)c(OC)c1
37	CHEBI_88567	Cc1ccc(C(C)C)c(C)c1	CHEBI_88567	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_88567.sdf	Cc1ccc(C(C)C)c(C)c1	C11H16	0.0	Cc1ccc(C(C)C)c(C)c1
38	CHEBI_80700	C=C/C=C\[C@H](C)[C@H](OC(N)=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)[C@H](C)[C@@H](O)[C@H]1C	CHEBI_80700	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_80700.sdf	C=C/C=C\[C@H](C)[C@H](OC(N)=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)[C@H](C)[C@@H](O)[C@H]1C	C33H55NO8	0.0	C=C/C=C\[C@H](C)[C@H](OC(N)=O)[C@@H](C)[C@H](O)[C@@H](C)C/C(C)=C\[C@H](C)[C@@H](O)[C@@H](C)/C=C\[C@@H](O)C[C@@H]1OC(=O)C(C)[C@@H](O)[C@H]1C
39	CHEBI_97623	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@@H]1C	CHEBI_97623	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_97623.sdf	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@@H]1C	C22H36N4O4	0.0	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@@H]1C
40	CHEBI_97111	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@@H]1C	CHEBI_97111	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_97111.sdf	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@@H]1C	C22H36N4O4	0.0	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@@H]1C
41	CHEBI_101373	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@H]1C	CHEBI_101373	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_101373.sdf	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@H]1C	C22H36N4O4	0.0	CO[C@@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@H]1C
42	CHEBI_98803	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@@H]1C	CHEBI_98803	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_98803.sdf	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@@H]1C	C22H36N4O4	0.0	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@@H]1C
43	CHEBI_95449	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@H]1C	CHEBI_95449	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_95449.sdf	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@H]1C	C22H36N4O4	0.0	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@@H](C)N(C)C[C@H]1C
44	CHEBI_102941	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@H]1C	CHEBI_102941	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_102941.sdf	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@H]1C	C22H36N4O4	0.0	CO[C@H]1CN(C)C(=O)c2ccc(NC(=O)NC(C)C)cc2OC[C@H](C)N(C)C[C@H]1C
45	CHEBI_35633	O=C(O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O	CHEBI_35633	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_35633.sdf	[H][C@@]12CC[C@H](O)[C@]([H])(C(=O)O)[C@@]1([H])C[C@@]1([H])c3[nH]c4ccccc4c3CCN1C2	C20H24N2O3	0.0	[H]C1(C(=O)O)[C@@H](O)CC[C@@]2([H])CN3CCc4c([nH]c5ccccc45)[C@]3([H])C[C@]12[H]
46	CHEBI_169401	CCCCCCCCCCCCCOC(=O)CCC	CHEBI_169401	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_169401.sdf	CCCCCCCCCCCCCOC(=O)CCC	C17H34O2	0.0	CCCCCCCCCCCCCOC(=O)CCC
47	CHEBI_208836	CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)C(C)(O)CC/C=C(\C)CCC=C(C)C	CHEBI_208836	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_208836.sdf	CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)C(C)(O)CC/C=C(\C)CCC=C(C)C	C36H62O7	0.0	CC(C)=CCC/C(C)=C/CC/C(C)=C/CCC(O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O)C(C)(O)CC/C=C(\C)CCC=C(C)C
48	CHEBI_228066	C=C1C[C@@H]2[C@@]3(C)CCC(=O)C(C)(C)[C@@H]3C(=O)C[C@@]2(C)[C@@]2(C(=O)OC)C(=O)[C@](C)(O)C(=O)[C@@]12C	CHEBI_228066	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_228066.sdf	C=C1C[C@@H]2[C@@]3(C)CCC(=O)C(C)(C)[C@@H]3C(=O)C[C@@]2(C)[C@@]2(C(=O)OC)C(=O)[C@](C)(O)C(=O)[C@@]12C	C26H34O7	0.0	C=C1C[C@@H]2[C@@]3(C)CCC(=O)C(C)(C)C3C(=O)C[C@@]2(C)[C@@]2(C(=O)OC)C(=O)[C@](C)(O)C(=O)[C@@]12C
49	CHEBI_100737	C[C@@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	CHEBI_100737	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_100737.sdf	C[C@@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	C31H34F3N3O4	0.0	C[C@@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F
50	CHEBI_98649	C[C@@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	CHEBI_98649	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_98649.sdf	C[C@@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	C31H34F3N3O4	0.0	C[C@@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F
51	CHEBI_102358	C[C@@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	CHEBI_102358	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_102358.sdf	C[C@@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	C31H34F3N3O4	0.0	C[C@@H]1CN([C@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F
52	CHEBI_101809	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc2ccccc2-c2ccccc2C1=O	CHEBI_101809	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_101809.sdf	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc2ccccc2-c2ccccc2C1=O	C31H34F3N3O4	0.0	C[C@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2ccccc2C(F)(F)F)OCc2ccccc2-c2ccccc2C1=O
53	CHEBI_98959	C[C@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	CHEBI_98959	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_98959.sdf	C[C@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F	C31H34F3N3O4	0.0	C[C@H]1CN([C@@H](C)CO)C(=O)c2ccccc2-c2ccccc2CO[C@@H]1CN(C)C(=O)Nc1ccccc1C(F)(F)F
