cluster_id	member_curie	identity_key_strict	molfile_key	molfile_path	raw_canonical_smiles	formula	formal_charge	rdkit_canonical_tautomer
2700	CHEBI_197555	COc1cc2c(c(O)c1-c1c(OC)cc3c(c1O)C(=O)[C@H]1[C@@H](C[C@H](C)O[C@@H]1C)[C@H]3O)C(=O)[C@H]1[C@@H](C[C@H](C)O[C@@H]1C)[C@H]2O	CHEBI_197555	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_197555.sdf	COc1cc2c(c(O)c1-c1c(OC)cc3c(c1O)C(=O)[C@H]1[C@@H](C[C@H](C)O[C@@H]1C)[C@H]3O)C(=O)[C@H]1[C@@H](C[C@H](C)O[C@@H]1C)[C@H]2O	C32H38O10	0.0	COc1cc2c(c(O)c1-c1c(OC)cc3c(c1O)C(=O)C1[C@@H](C[C@H](C)O[C@@H]1C)[C@H]3O)C(=O)C1[C@@H](C[C@H](C)O[C@@H]1C)[C@H]2O
2701	CHEBI_59119	CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	CHEBI_59119	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_59119.sdf	CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1	C23H28ClN3O2S	0.0	CC(=O)OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc32)CC1
2702	CHEBI_175490	CCCCCCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	CHEBI_175490	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_175490.sdf	CCCCCCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1	C21H34O4	0.0	CCCCCCCCCC(O)CC(=O)CCc1ccc(O)c(OC)c1
2703	CHEBI_143749	CCCCCCCCC[C@@H](O)CC(=O)CCc1ccc(O)c(OC)c1	CHEBI_143749	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_143749.sdf	CCCCCCCCC[C@@H](O)CC(=O)CCc1ccc(O)c(OC)c1	C21H34O4	0.0	CCCCCCCCC[C@@H](O)CC(=O)CCc1ccc(O)c(OC)c1
2704	CHEBI_81134	CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1	CHEBI_81134	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_81134.sdf	CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1	C21H34O4	0.0	CCCCCCCCC[C@H](O)CC(=O)CCc1ccc(O)c(OC)c1
2705	CHEBI_79157	C[C@@H]1O[C@@H](OCCCCCCCCCCCCCCCCC/C=C/C(=O)O)[C@H](O)C[C@H]1O	CHEBI_79157	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_79157.sdf	C[C@@H]1O[C@@H](OCCCCCCCCCCCCCCCCC/C=C/C(=O)O)[C@H](O)C[C@H]1O	C26H48O6	0.0	C[C@@H]1O[C@@H](OCCCCCCCCCCCCCCCCC/C=C/C(=O)O)[C@H](O)C[C@H]1O
2706	CHEBI_140041	C[C@@H]1O[C@@H](OCCCCCCCCCCCCCCCCC/C=C/C(=O)[O-])[C@H](O)C[C@H]1O	CHEBI_140041	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_140041.sdf	C[C@@H]1O[C@@H](OCCCCCCCCCCCCCCCCC/C=C/C(=O)[O-])[C@H](O)C[C@H]1O	C26H47O6-	-1.0	C[C@@H]1O[C@@H](OCCCCCCCCCCCCCCCCC/C=C/C(=O)[O-])[C@H](O)C[C@H]1O
2707	CHEBI_214223	C=C[C@@]1(C)CC=C2[C@@]34CCCC(C)(C)[C@@H]3CC[C@@]2(OC4=O)[C@H]1O	CHEBI_214223	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_214223.sdf	C=C[C@@]1(C)CC=C2[C@@]34CCCC(C)(C)[C@@H]3CC[C@@]2(OC4=O)[C@H]1O	C20H28O3	0.0	C=C[C@@]1(C)CC=C2[C@@]34CCCC(C)(C)[C@@H]3CC[C@@]2(OC4=O)[C@H]1O
2708	CHEBI_204608	CO[C@H]1[C@H](O)[C@@H](O)[C@H](Oc2cc(O)cc3cc4c(c(O)c23)C(=O)[C@@H](C)[C@H](C)O4)O[C@@H]1CO	CHEBI_204608	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_204608.sdf	CO[C@H]1[C@H](O)[C@@H](O)[C@H](Oc2cc(O)cc3cc4c(c(O)c23)C(=O)[C@@H](C)[C@H](C)O4)O[C@@H]1CO	C22H26O10	0.0	CO[C@H]1[C@H](O)[C@@H](O)[C@H](Oc2cc(O)cc3cc4c(c(O)c23)C(=O)C(C)[C@H](C)O4)O[C@@H]1CO
2709	CHEBI_230035	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H]1COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@@H](CCCCCCC(=O)O1)[C@@H](O)C[C@@H](O)[C@H](/C=C\[C@@H](O)CCCCC)[C@H](O)[C@@H]2O	CHEBI_230035	/home/jackmcgoldrick/Downloads/stereomapper_structures/chebi_structures/CHEBI_230035.sdf	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H]1COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@@H](CCCCCCC(=O)O1)[C@@H](O)C[C@@H](O)[C@H](/C=C\[C@@H](O)CCCCC)[C@H](O)[C@@H]2O	C52H91N3O18P2	0.0	CCCCCCCC/C=C\CCCCCCCCCC(=O)OC[C@@H]1COP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@@H](CCCCCCC(=O)O1)[C@@H](O)C[C@@H](O)[C@H](/C=C\[C@@H](O)CCCCC)[C@H](O)[C@@H]2O
