identity_key_strict	n_members	n_raw_forms	formula	formal_charge	members
C/C(=C/C=C/C(C)=C/C=C/C=C(C)/C=C\C=C(/C)OC(=O)CC1OC(c2c(O)cc3oc4cc(O)c(O)cc4c(=O)c3c2O)C(O)C(O)C1O)C(=O)OC1OC(CO)C(O)C(O)C1O	1	1	C45H50O19	0.0	CHEBI_168926
C/C(=C/CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C)CO	1	1	C30H48O2	0.0	CHEBI_215348
C/C(=C/C[C@H]1C[C@H](C)OC1=O)CO	1	1	C10H16O3	0.0	CHEBI_222399
C/C(=C/c1csc(C)n1)C1CC(O)C(C)(SCC(/N=C(/O)CCC(N)C(=O)O)/C(O)=N/CC(=O)O)CCCC(C)C(O)C(C)(O)C(=O)C(C)(C)C(O)C/C(O)=N/1	1	1	C37H59N5O12S2	0.0	CHEBI_194054
C/C(=C1\C=C(O)C(=O)O1)[C@@H]1[C@H](O)C[C@](C)(O)[C@@H]1C	1	1	C13H18O5	0.0	CHEBI_217394
C/C(=C\C(C)O)C1=CC(=O)N2CCC(=O)CC2N1	1	1	C13H18N2O3	0.0	CHEBI_176433
C/C(=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/C(=O)O)CO	1	1	C20H32O3	0.0	CHEBI_84977
C/C(=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/C(=O)[O-])CO	1	1	C20H31O3-	-1.0	CHEBI_83954
C/C(=C\CC/C(C)=C/COC(=O)/C=C/C(=O)O)CC/C=C(\C)CC/C=C(\C)COC(=O)/C=C/C(=O)O	1	1	C28H38O8	0.0	CHEBI_176186
C/C(=C\CC[C@@H](C)[C@H]1CC(=O)[C@@]2(C)C3=C(C(=O)C[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@@H]3O)C(=O)O	1	1	C30H42O6	0.0	CHEBI_205212
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=C(CC[C@]12C)[C@@]1(C)CCC(=O)C(C)(C)[C@@H]1C[C@H]3O)CO	1	1	C30H48O3	0.0	CHEBI_215210
C/C(=C\CC[C@@H](C)[C@H]1CC[C@@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)C3=CC[C@]12C)CO	1	1	C30H48O2	0.0	CHEBI_142261
C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O)CO	1	1	C15H24N5O14P3	0.0	CHEBI_71938
C/C(=C\CNc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])[C@@H](O)[C@H]1O)CO	1	1	C15H20N5O14P3-4	-4.0	CHEBI_87953
C/C(=C\CO)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)COC(=O)/C=C/C(=O)O	1	1	C24H36O5	0.0	CHEBI_197608
C/C(=C\C[C@@]12O[C@@H]1[C@H](O)C(CO)=CC2=O)CCCC(C)C(=O)O	1	1	C17H24O6	0.0	CHEBI_133837
C/C(=C\Cc1cc(O)c2ccccc2c1O)CCC[C@H](C)CCC[C@H](C)CCCC(C)C	1	1	C30H46O2	0.0	CHEBI_87844
C/C(=C\[C@@H]1[C@H]2[C@@H](C)[C@H](O)C[C@@H](O)[C@@]2(C)C=C[C@H]1/C(C)=C/C[C@H](O)C[C@@H](O)C[C@@H](O)[C@H](C)[C@@H](O)C(C)C)C(=O)O	1	1	C31H52O8	0.0	CHEBI_227093
C/C(=C\c1csc(C)n1)C(N)CC(O)C(C)(CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O)SCC(/N=C(\O)CCC(N)C(=O)O)/C(O)=N/CC(=O)O	1	1	C37H61N5O12S2	0.0	CHEBI_194060
C/C(=C\c1csc(C)n1)C(N)CC(SCC(/N=C(\O)CCC(N)C(=O)O)/C(O)=N/CC(=O)O)[C@](C)(O)CCCC(C)C(O)C(C)C(=O)C(C)(C)C(O)CC(=O)O	1	1	C37H61N5O12S2	0.0	CHEBI_194059
C/C(=C\c1csc(C)n1)[C@@H]1C[C@@H]2O[C@]2(C)CCC[C@H](C)[C@H](O)[C@@H](C)C(=O)C(C)(C)[C@@H](OC2OC(CO)C(O)C2O)CC(=O)O1	1	1	C32H49NO10S	0.0	CHEBI_206409
C/C(C=O)=C\C=C(/O)C(=O)O	1	1	C7H8O4	0.0	CHEBI_142991
C/C(C=O)=C\C=C(/O)C(=O)[O-]	1	1	C7H7O4-	-1.0	CHEBI_142983
C/C(C=O)=C\CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COC(=O)/C(C)=C/C(=O)O	1	1	C25H36O5	0.0	CHEBI_204349
C/C(C=O)=C\CCC(C)C1CCC2(C)C3=C(CCC12C)C1(C)CCC(=O)C(C)(C)C1CC3O	1	1	C30H46O3	0.0	CHEBI_172033
C/C(O)=N\[C@H]1[C@H](O[C@H]2[C@H](OC(C)/C(O)=N/[C@@H](C)/C(O)=N/[C@H](CC/C(O)=N/[C@@H](CCC[C@@H](N)C(=O)O)C(=O)/N=C(\O)[C@@H](C)N)C(=O)O)[C@@H](/N=C(\C)O)[C@@H]3OC[C@H]2O3)O[C@H](CO)[C@@H](O)[C@@H]1O	1	1	C37H60N8O19	0.0	CHEBI_233430
C/C([O-])=C1/C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C1=O	1	1	C15H13N2O3-	-1.0	CHEBI_167552
C/C1=C/C2C(CCC3(C)Oc4c(C=O)c(O)c(C=O)c(O)c4C(CC(C)C)C3CC1)C2(C)C	1	1	C28H38O5	0.0	CHEBI_175633
C/C1=C/C=C\C(C)(O)CCC(=O)OC(C)C(C)CCC1O	1	1	C17H28O4	0.0	CHEBI_199778
C/C1=C/C=C\CC/C(C)=C\CC1	1	1	C12H18	0.0	CHEBI_191546
C/C1=C/CC[C@]2(C)O[C@@H]3C[C@@H](C)[C@](C)(CC1)C1=C3[C@](O)(OC1)[C@H]2O	1	1	C20H30O4	0.0	CHEBI_222984
