mnxparent_label,parent_label,mnxchild_label,child_label
MNXM41041,chebi:53651,MNXM41038,chebi:60180
MNXM41041,chebi:53651,MNXM41080,chebi:62330
MNXM41070,chebi:62678,MNXM41066,chebi:62677
MNXM41070,chebi:62678,MNXM41068,chebi:62332
MNXM41089,chebi:60931,MNXM10651,chebi:60944
MNXM41089,chebi:60931,MNXM41088,chebi:64528
MNXM41117,chebi:61635,MNXM41112,chebi:62454
MNXM41117,chebi:61635,MNXM41115,chebi:62340
MNXM41124,chebi:35930,MNXM1113623,chebi:147974
MNXM41124,chebi:35930,MNXM41111,chebi:61012
MNXM41133,chebi:60300,MNXM41059,chebi:42528
MNXM41133,chebi:60300,MNXM747997,chebi:145577
MNXM41227,chebi:61898,MNXM726443,chebi:132510
MNXM41238,chebi:61613,MNXM1114026,chebi:148470
MNXM41238,chebi:61613,MNXM1116274,chebi:151659
MNXM41241,chebi:61612,MNXM1114027,chebi:148471
MNXM41241,chebi:61612,MNXM1114089,chebi:148563
MNXM41253,chebi:61611,MNXM1118195,chebi:154332
MNXM41253,chebi:61611,MNXM1118832,chebi:155199
MNXM413500,chebi:91033,MNXM1113271,chebi:147510
MNXM413500,chebi:91033,MNXM1113683,chebi:148043
MNXM413519,chebi:167992,MNXM32738,chebi:614
MNXM41395,chebi:62259,MNXM1115661,chebi:150804
MNXM41395,chebi:62259,MNXM41389,chebi:59296
MNXM41399,chebi:62507,MNXM1118123,chebi:154234
MNXM41399,chebi:62507,MNXM41396,chebi:59045
MNXM41404,chebi:62344,MNXM1119654,chebi:156716
MNXM41404,chebi:62344,MNXM1120225,chebi:157388
MNXM4144,chebi:58611,MNXM50782,chebi:30268
MNXM41462,chebi:61606,MNXM4810,chebi:27522
MNXM41488,chebi:48295,MNXM31586,chebi:48298
MNXM41488,chebi:48295,MNXM31775,chebi:48297
MNXM41501,chebi:145937,MNXM102599,chebi:71612
MNXM41501,chebi:145937,MNXM1114079,chebi:148547
MNXM41521,chebi:61578,MNXM1113749,chebi:148121
MNXM41521,chebi:61578,MNXM1118220,chebi:154364
MNXM41550,chebi:62078,MNXM102611,chebi:65099
MNXM41550,chebi:62078,MNXM41567,chebi:62097
MNXM41847,chebi:2654,MNXM31588,chebi:53788
MNXM41847,chebi:2654,MNXM31776,chebi:53790
MNXM41904,chebi:2668,MNXM31589,chebi:53795
MNXM41904,chebi:2668,MNXM31777,chebi:53796
MNXM419805,chebi:168886,MNXM13920,chebi:81321
MNXM42071,chebi:22542,MNXM727351,chebi:16985
MNXM42071,chebi:22542,MNXM730559,chebi:15994
MNXM4217,chebi:234601,MNXM146880,chebi:77395
MNXM4217,chebi:234601,MNXM31702,chebi:41847
MNXM4229,chebi:57598,MNXM31538,chebi:48351
MNXM4229,chebi:57598,MNXM31707,chebi:48352
MNXM42819,chebi:49010,MNXM48406,chebi:49011
MNXM42819,chebi:49010,MNXM59318,chebi:21248
MNXM42916,chebi:2904,MNXM31591,chebi:55352
MNXM42916,chebi:2904,MNXM52570,chebi:31556
MNXM43055,chebi:22678,MNXM31693,chebi:38153
MNXM43149,chebi:2950,MNXM31593,chebi:55362
MNXM43149,chebi:2950,MNXM31783,chebi:55363
MNXM431874,chebi:168167,MNXM8980,chebi:71498
MNXM431875,chebi:133564,MNXM21683,chebi:145681
MNXM43296,chebi:553827,MNXM31595,chebi:59179
MNXM43296,chebi:553827,MNXM31785,chebi:59180
MNXM43436,chebi:3013,MNXM31596,chebi:59243
MNXM43436,chebi:3013,MNXM31786,chebi:59244
MNXM43555,chebi:136658,MNXM169790,chebi:136659
MNXM43555,chebi:136658,MNXM170042,chebi:136660
MNXM43646,chebi:27662,MNXM30868,chebi:36382
MNXM43646,chebi:27662,MNXM30973,chebi:36381
MNXM4368,chebi:32804,MNXM1301,chebi:17210
MNXM4368,chebi:32804,MNXM7946,chebi:27996
MNXM43802,chebi:85971,MNXM491852,chebi:40438
MNXM43856,chebi:59563,MNXM1115130,chebi:150078
MNXM43856,chebi:59563,MNXM491860,chebi:87201
MNXM43862,chebi:36226,MNXM43860,chebi:36227
MNXM43862,chebi:36226,MNXM43861,chebi:41034
MNXM43895,chebi:60299,MNXM1115290,chebi:150295
MNXM43895,chebi:60299,MNXM1117934,chebi:153983
MNXM43902,chebi:62265,MNXM1116947,chebi:152587
MNXM43902,chebi:62265,MNXM43898,chebi:59295
MNXM43925,chebi:63141,MNXM1114672,chebi:149361
MNXM43925,chebi:63141,MNXM1116714,chebi:152269
MNXM43945,chebi:62103,MNXM8330,chebi:61770
MNXM43946,chebi:62658,MNXM1115427,chebi:150486
MNXM43946,chebi:62658,MNXM1116841,chebi:152443
MNXM44000,chebi:64026,MNXM1115498,chebi:150588
MNXM44000,chebi:64026,MNXM1116119,chebi:151449
MNXM44041,chebi:59250,MNXM44040,chebi:64169
MNXM44041,chebi:59250,MNXM747696,chebi:144364
MNXM44042,chebi:61895,MNXM726557,chebi:229626
MNXM44060,chebi:59626,MNXM1120078,chebi:157209
MNXM44060,chebi:59626,MNXM1120340,chebi:157528
MNXM44062,chebi:62037,MNXM44056,chebi:64168
MNXM44062,chebi:62037,MNXM747695,chebi:144363
MNXM4411,chebi:58498,MNXM745172,chebi:137165
MNXM44206,chebi:3082,MNXM31600,chebi:59251
MNXM44206,chebi:3082,MNXM31790,chebi:59254
MNXM44208,chebi:3084,MNXM31601,chebi:59260
MNXM44208,chebi:3084,MNXM31791,chebi:59261
MNXM44219,chebi:238698,MNXM31602,chebi:59184
MNXM44219,chebi:238698,MNXM31792,chebi:59185
MNXM44265,chebi:78692,MNXM149587,chebi:78693
MNXM44265,chebi:78692,MNXM149725,chebi:78694
MNXM44304,chebi:83366,MNXM149588,chebi:83367
MNXM44304,chebi:83366,MNXM149726,chebi:83371
MNXM44342,chebi:3112,MNXM338843,chebi:91659
MNXM44342,chebi:3112,MNXM530548,chebi:95135
MNXM44405,chebi:22899,MNXM4147,chebi:15391
MNXM44405,chebi:22899,MNXM4171,chebi:15390
MNXM44466,chebi:83851,MNXM149286,chebi:83854
MNXM44466,chebi:83851,MNXM149299,chebi:83857
MNXM44466,chebi:83851,MNXM149305,chebi:83855
MNXM44470,chebi:3133,MNXM31603,chebi:59188
MNXM44470,chebi:3133,MNXM31793,chebi:59189
MNXM44585,chebi:34607,MNXM163940,chebi:36777
MNXM44585,chebi:34607,MNXM733760,chebi:36778
MNXM44588,chebi:28093,MNXM733357,chebi:15393
MNXM446618,chebi:83289,MNXM66646,chebi:77091
MNXM44720,chebi:83658,MNXM149591,chebi:83659
MNXM44720,chebi:83658,MNXM149729,chebi:83660
MNXM44726,chebi:59177,MNXM31604,chebi:59301
MNXM44726,chebi:59177,MNXM31794,chebi:59302
MNXM44747,chebi:77043,MNXM149593,chebi:77044
MNXM44747,chebi:77043,MNXM149731,chebi:77045
MNXM44891,chebi:22934,MNXM38337,chebi:35540
MNXM44891,chebi:22934,MNXM38375,chebi:20661
MNXM44969,chebi:48299,MNXM1371602,chebi:17113
MNXM44969,chebi:48299,MNXM1371603,chebi:48300
MNXM44969,chebi:48299,MNXM59552,chebi:42090
MNXM44970,chebi:52682,MNXM31607,chebi:52685
MNXM44970,chebi:52682,MNXM31796,chebi:52686
MNXM44971,chebi:52683,MNXM31608,chebi:52687
MNXM44971,chebi:52683,MNXM31797,chebi:52688
MNXM44972,chebi:62064,MNXM2757,chebi:16982
MNXM44972,chebi:62064,MNXM3413,chebi:16812
MNXM44972,chebi:62064,MNXM9502,chebi:75460
MNXM449791,chebi:60287,MNXM32955,chebi:74971
MNXM45008,chebi:3240,MNXM31606,chebi:59287
MNXM45008,chebi:3240,MNXM31798,chebi:59288
MNXM45215,chebi:47837,MNXM30703,chebi:156153
MNXM4528,chebi:80507,MNXM31530,chebi:144576
MNXM4528,chebi:80507,MNXM31699,chebi:143914
MNXM45347,chebi:35518,MNXM38339,chebi:20640
MNXM45347,chebi:35518,MNXM38376,chebi:20662
MNXM45354,chebi:55379,MNXM31609,chebi:55403
MNXM45354,chebi:55379,MNXM31799,chebi:55401
MNXM454325,chebi:180193,MNXM78757,chebi:84467
MNXM4557,chebi:49088,MNXM1105812,chebi:49089
MNXM4557,chebi:49088,MNXM41274,chebi:49090
MNXM45651,chebi:35543,MNXM38340,chebi:35541
MNXM45651,chebi:35543,MNXM38377,chebi:35542
MNXM45661,chebi:138240,MNXM745463,chebi:138241
MNXM45661,chebi:138240,MNXM745464,chebi:138242
MNXM45662,chebi:138244,MNXM745466,chebi:138245
MNXM45662,chebi:138244,MNXM745467,chebi:138246
MNXM45673,chebi:3419,MNXM31611,chebi:59334
MNXM45673,chebi:3419,MNXM31801,chebi:59336
MNXM45716,chebi:364453,MNXM31612,chebi:59206
MNXM45716,chebi:364453,MNXM31803,chebi:59207
MNXM45736,chebi:38265,MNXM1370993,chebi:15399
MNXM45736,chebi:38265,MNXM1370994,chebi:15400
MNXM46138,chebi:61302,MNXM24312,chebi:75935
MNXM46339,chebi:34623,MNXM46978,chebi:39068
MNXM46339,chebi:34623,MNXM87600,chebi:39069
MNXM46385,chebi:3619,MNXM31614,chebi:59467
MNXM46385,chebi:3619,MNXM31805,chebi:59468
MNXM46486,chebi:3638,MNXM31615,chebi:48811
MNXM46486,chebi:3638,MNXM31806,chebi:39254
MNXM46503,chebi:52010,MNXM49242,chebi:4464
