id_left,id_right,pairkey
CHEBI_36298,CHEBI_36466,CHEBI_36298__CHEBI_36466
CHEBI_36107,CHEBI_36106,CHEBI_36106__CHEBI_36107
CHEBI_15992,CHEBI_36108,CHEBI_15992__CHEBI_36108
CHEBI_29055,CHEBI_19891,CHEBI_19891__CHEBI_29055
CHEBI_16187,CHEBI_30912,CHEBI_16187__CHEBI_30912
CHEBI_18703,CHEBI_41582,CHEBI_18703__CHEBI_41582
CHEBI_29934,CHEBI_16666,CHEBI_16666__CHEBI_29934
CHEBI_15364,CHEBI_33199,CHEBI_15364__CHEBI_33199
CHEBI_16630,CHEBI_30918,CHEBI_16630__CHEBI_30918
CHEBI_30624,CHEBI_16224,CHEBI_16224__CHEBI_30624
CHEBI_15598,CHEBI_30835,CHEBI_15598__CHEBI_30835
CHEBI_30938,CHEBI_16705,CHEBI_16705__CHEBI_30938
CHEBI_29807,CHEBI_15939,CHEBI_15939__CHEBI_29807
CHEBI_29006,CHEBI_32844,CHEBI_29006__CHEBI_32844
CHEBI_28944,CHEBI_21498,CHEBI_21498__CHEBI_28944
CHEBI_28999,CHEBI_21500,CHEBI_21500__CHEBI_28999
CHEBI_17536,CHEBI_30837,CHEBI_17536__CHEBI_30837
CHEBI_27247,CHEBI_27248,CHEBI_27247__CHEBI_27248
CHEBI_30959,CHEBI_17405,CHEBI_17405__CHEBI_30959
CHEBI_27660,CHEBI_36751,CHEBI_27660__CHEBI_36751
CHEBI_30854,CHEBI_16411,CHEBI_16411__CHEBI_30854
CHEBI_19775,CHEBI_18386,CHEBI_18386__CHEBI_19775
CHEBI_29744,CHEBI_16325,CHEBI_16325__CHEBI_29744
CHEBI_29746,CHEBI_17687,CHEBI_17687__CHEBI_29746
CHEBI_16806,CHEBI_30881,CHEBI_16806__CHEBI_30881
CHEBI_30864,CHEBI_17025,CHEBI_17025__CHEBI_30864
CHEBI_15980,CHEBI_18697,CHEBI_15980__CHEBI_18697
CHEBI_30313,CHEBI_16494,CHEBI_16494__CHEBI_30313
CHEBI_33215,CHEBI_33214,CHEBI_33214__CHEBI_33215
CHEBI_33207,CHEBI_33206,CHEBI_33206__CHEBI_33207
CHEBI_35404,CHEBI_33144,CHEBI_33144__CHEBI_35404
CHEBI_15361,CHEBI_32816,CHEBI_15361__CHEBI_32816
CHEBI_16005,CHEBI_33409,CHEBI_16005__CHEBI_33409
CHEBI_33113,CHEBI_16853,CHEBI_16853__CHEBI_33113
CHEBI_17996,CHEBI_17883,CHEBI_17883__CHEBI_17996
CHEBI_29222,CHEBI_24757,CHEBI_24757__CHEBI_29222
CHEBI_49706,CHEBI_29221,CHEBI_29221__CHEBI_49706
CHEBI_49709,CHEBI_17322,CHEBI_17322__CHEBI_49709
CHEBI_17441,CHEBI_29219,CHEBI_17441__CHEBI_29219
CHEBI_29223,CHEBI_49382,CHEBI_29223__CHEBI_49382
CHEBI_29248,CHEBI_29247,CHEBI_29247__CHEBI_29248
CHEBI_29246,CHEBI_29245,CHEBI_29245__CHEBI_29246
CHEBI_29250,CHEBI_29249,CHEBI_29249__CHEBI_29250
CHEBI_29226,CHEBI_24857,CHEBI_24857__CHEBI_29226
CHEBI_29230,CHEBI_29229,CHEBI_29229__CHEBI_29230
CHEBI_49826,CHEBI_29149,CHEBI_29149__CHEBI_49826
CHEBI_33446,CHEBI_29150,CHEBI_29150__CHEBI_33446
CHEBI_16301,CHEBI_25567,CHEBI_16301__CHEBI_25567
CHEBI_17632,CHEBI_48107,CHEBI_17632__CHEBI_48107
CHEBI_29270,CHEBI_29271,CHEBI_29270__CHEBI_29271
CHEBI_25941,CHEBI_25942,CHEBI_25941__CHEBI_25942
CHEBI_50115,CHEBI_14428,CHEBI_14428__CHEBI_50115
