id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_17521,CHEBI_36124,CHEBI_17521_CHEBI_36124,enantiomer,diastereomer,100.0,0
CHEBI_130255,CHEBI_129691,CHEBI_129691_CHEBI_130255,diastereomer,diastereomer,100.0,1
CHEBI_119096,CHEBI_118949,CHEBI_118949_CHEBI_119096,diastereomer,diastereomer,100.0,1
CHEBI_132916,CHEBI_132915,CHEBI_132915_CHEBI_132916,enantiomer,diastereomer,100.0,0
CHEBI_47998,CHEBI_47999,CHEBI_47998_CHEBI_47999,diastereomer,diastereomer,100.0,1
CHEBI_172982,CHEBI_172965,CHEBI_172965_CHEBI_172982,diastereomer,diastereomer,100.0,1
CHEBI_215576,CHEBI_212760,CHEBI_212760_CHEBI_215576,diastereomer,diastereomer,100.0,1
CHEBI_216486,CHEBI_217430,CHEBI_216486_CHEBI_217430,diastereomer,diastereomer,100.0,1
CHEBI_188988,CHEBI_188994,CHEBI_188988_CHEBI_188994,diastereomer,diastereomer,100.0,1
CHEBI_199465,CHEBI_198581,CHEBI_198581_CHEBI_199465,diastereomer,diastereomer,78.0,1
CHEBI_119003,CHEBI_119008,CHEBI_119003_CHEBI_119008,diastereomer,diastereomer,100.0,1
CHEBI_130097,CHEBI_131021,CHEBI_130097_CHEBI_131021,diastereomer,diastereomer,100.0,1
CHEBI_174257,CHEBI_187264,CHEBI_174257_CHEBI_187264,diastereomer,diastereomer,78.0,1
CHEBI_129705,CHEBI_130617,CHEBI_129705_CHEBI_130617,diastereomer,diastereomer,100.0,1
CHEBI_232268,CHEBI_232194,CHEBI_232194_CHEBI_232268,diastereomer,diastereomer,100.0,1
CHEBI_227193,CHEBI_227189,CHEBI_227189_CHEBI_227193,diastereomer,diastereomer,100.0,1
CHEBI_223701,CHEBI_200430,CHEBI_200430_CHEBI_223701,diastereomer,diastereomer,100.0,1
CHEBI_167352,CHEBI_169732,CHEBI_167352_CHEBI_169732,diastereomer,diastereomer,100.0,1
CHEBI_103153,CHEBI_101493,CHEBI_101493_CHEBI_103153,diastereomer,diastereomer,100.0,1
CHEBI_27508,CHEBI_48153,CHEBI_27508_CHEBI_48153,diastereomer,diastereomer,100.0,1
CHEBI_157238,CHEBI_153424,CHEBI_153424_CHEBI_157238,diastereomer,diastereomer,100.0,1
CHEBI_70562,CHEBI_70563,CHEBI_70562_CHEBI_70563,diastereomer,diastereomer,100.0,1
CHEBI_59818,CHEBI_59820,CHEBI_59818_CHEBI_59820,diastereomer,diastereomer,100.0,1
CHEBI_113705,CHEBI_124286,CHEBI_113705_CHEBI_124286,diastereomer,diastereomer,100.0,1
CHEBI_76041,CHEBI_75859,CHEBI_75859_CHEBI_76041,diastereomer,diastereomer,100.0,1
CHEBI_174781,CHEBI_174780,CHEBI_174780_CHEBI_174781,diastereomer,diastereomer,79.0,1
CHEBI_215528,CHEBI_208828,CHEBI_208828_CHEBI_215528,diastereomer,diastereomer,97.0,1
CHEBI_99180,CHEBI_102343,CHEBI_102343_CHEBI_99180,diastereomer,diastereomer,100.0,1
CHEBI_205777,CHEBI_206508,CHEBI_205777_CHEBI_206508,diastereomer,diastereomer,100.0,1
CHEBI_127007,CHEBI_128443,CHEBI_127007_CHEBI_128443,diastereomer,diastereomer,100.0,1
CHEBI_211155,CHEBI_211149,CHEBI_211149_CHEBI_211155,diastereomer,diastereomer,100.0,1
CHEBI_124274,CHEBI_124872,CHEBI_124274_CHEBI_124872,diastereomer,diastereomer,100.0,1
CHEBI_110656,CHEBI_110669,CHEBI_110656_CHEBI_110669,diastereomer,diastereomer,100.0,1
CHEBI_203508,CHEBI_223686,CHEBI_203508_CHEBI_223686,diastereomer,diastereomer,100.0,1
CHEBI_112061,CHEBI_112029,CHEBI_112029_CHEBI_112061,diastereomer,diastereomer,100.0,1
CHEBI_124532,CHEBI_103734,CHEBI_103734_CHEBI_124532,diastereomer,diastereomer,100.0,1
CHEBI_117417,CHEBI_117293,CHEBI_117293_CHEBI_117417,diastereomer,diastereomer,100.0,1
CHEBI_214250,CHEBI_214256,CHEBI_214250_CHEBI_214256,diastereomer,diastereomer,100.0,1
