id1,id2,pair_id,true_class,predicted_class,score_S,correct_prediction
CHEBI_77582,CHEBI_77584,CHEBI_77582_CHEBI_77584,enantiomer,enantiomer,100.0,1
CHEBI_138258,CHEBI_138255,CHEBI_138255_CHEBI_138258,enantiomer,enantiomer,100.0,1
CHEBI_83810,CHEBI_83809,CHEBI_83809_CHEBI_83810,enantiomer,enantiomer,100.0,1
CHEBI_10472,CHEBI_48690,CHEBI_10472_CHEBI_48690,enantiomer,enantiomer,100.0,1
CHEBI_50532,CHEBI_50531,CHEBI_50531_CHEBI_50532,enantiomer,enantiomer,100.0,1
CHEBI_87738,CHEBI_87737,CHEBI_87737_CHEBI_87738,enantiomer,enantiomer,100.0,1
CHEBI_75977,CHEBI_75972,CHEBI_75972_CHEBI_75977,enantiomer,enantiomer,100.0,1
CHEBI_83749,CHEBI_83752,CHEBI_83749_CHEBI_83752,enantiomer,enantiomer,100.0,1
CHEBI_88311,CHEBI_88310,CHEBI_88310_CHEBI_88311,enantiomer,enantiomer,100.0,1
CHEBI_60917,CHEBI_60918,CHEBI_60917_CHEBI_60918,enantiomer,enantiomer,100.0,1
CHEBI_49044,CHEBI_49046,CHEBI_49044_CHEBI_49046,enantiomer,enantiomer,100.0,1
CHEBI_90371,CHEBI_90370,CHEBI_90370_CHEBI_90371,enantiomer,enantiomer,100.0,1
CHEBI_39013,CHEBI_39014,CHEBI_39013_CHEBI_39014,enantiomer,enantiomer,100.0,1
CHEBI_71225,CHEBI_31018,CHEBI_31018_CHEBI_71225,enantiomer,enantiomer,100.0,1
CHEBI_77049,CHEBI_77050,CHEBI_77049_CHEBI_77050,enantiomer,enantiomer,100.0,1
CHEBI_21041,CHEBI_21333,CHEBI_21041_CHEBI_21333,enantiomer,enantiomer,100.0,1
CHEBI_78406,CHEBI_78405,CHEBI_78405_CHEBI_78406,enantiomer,enantiomer,100.0,1
CHEBI_49031,CHEBI_49035,CHEBI_49031_CHEBI_49035,enantiomer,enantiomer,86.0,1
CHEBI_63059,CHEBI_63058,CHEBI_63058_CHEBI_63059,enantiomer,enantiomer,100.0,1
CHEBI_139344,CHEBI_139345,CHEBI_139344_CHEBI_139345,enantiomer,enantiomer,100.0,1
CHEBI_75563,CHEBI_75561,CHEBI_75561_CHEBI_75563,enantiomer,enantiomer,100.0,1
CHEBI_16820,CHEBI_90086,CHEBI_16820_CHEBI_90086,enantiomer,enantiomer,100.0,1
CHEBI_16398,CHEBI_16857,CHEBI_16398_CHEBI_16857,enantiomer,enantiomer,100.0,1
CHEBI_42446,CHEBI_38666,CHEBI_38666_CHEBI_42446,enantiomer,enantiomer,100.0,1
CHEBI_142945,CHEBI_142946,CHEBI_142945_CHEBI_142946,enantiomer,enantiomer,100.0,1
CHEBI_37473,CHEBI_37472,CHEBI_37472_CHEBI_37473,enantiomer,enantiomer,100.0,1
CHEBI_4372,CHEBI_49177,CHEBI_4372_CHEBI_49177,enantiomer,enantiomer,100.0,1
CHEBI_132818,CHEBI_16778,CHEBI_132818_CHEBI_16778,enantiomer,enantiomer,100.0,1
CHEBI_47952,CHEBI_79049,CHEBI_47952_CHEBI_79049,enantiomer,enantiomer,100.0,1
CHEBI_233612,CHEBI_233613,CHEBI_233612_CHEBI_233613,enantiomer,enantiomer,100.0,1
CHEBI_145510,CHEBI_145509,CHEBI_145509_CHEBI_145510,enantiomer,enantiomer,100.0,1
CHEBI_85244,CHEBI_85242,CHEBI_85242_CHEBI_85244,enantiomer,enantiomer,100.0,1
CHEBI_49059,CHEBI_15908,CHEBI_15908_CHEBI_49059,enantiomer,enantiomer,100.0,1
CHEBI_38320,CHEBI_122,CHEBI_122_CHEBI_38320,enantiomer,enantiomer,100.0,1
CHEBI_131970,CHEBI_131969,CHEBI_131969_CHEBI_131970,enantiomer,enantiomer,100.0,1
CHEBI_59206,CHEBI_59207,CHEBI_59206_CHEBI_59207,enantiomer,enantiomer,100.0,1
CHEBI_28159,CHEBI_17196,CHEBI_17196_CHEBI_28159,enantiomer,enantiomer,100.0,1
CHEBI_59189,CHEBI_59188,CHEBI_59188_CHEBI_59189,enantiomer,enantiomer,100.0,1
CHEBI_85637,CHEBI_85636,CHEBI_85636_CHEBI_85637,enantiomer,enantiomer,100.0,1
CHEBI_44916,CHEBI_228220,CHEBI_228220_CHEBI_44916,enantiomer,enantiomer,100.0,1
CHEBI_141408,CHEBI_141409,CHEBI_141408_CHEBI_141409,enantiomer,enantiomer,100.0,1
CHEBI_145533,CHEBI_145534,CHEBI_145533_CHEBI_145534,enantiomer,enantiomer,100.0,1
CHEBI_64243,CHEBI_64244,CHEBI_64243_CHEBI_64244,enantiomer,enantiomer,100.0,1
CHEBI_28313,CHEBI_37,CHEBI_28313_CHEBI_37,enantiomer,enantiomer,100.0,1
CHEBI_48570,CHEBI_48571,CHEBI_48570_CHEBI_48571,enantiomer,enantiomer,100.0,1
CHEBI_51035,CHEBI_51036,CHEBI_51035_CHEBI_51036,enantiomer,enantiomer,100.0,1
CHEBI_83854,CHEBI_83855,CHEBI_83854_CHEBI_83855,enantiomer,enantiomer,100.0,1
CHEBI_33571,CHEBI_18357,CHEBI_18357_CHEBI_33571,enantiomer,enantiomer,100.0,1
CHEBI_73099,CHEBI_73098,CHEBI_73098_CHEBI_73099,enantiomer,enantiomer,100.0,1
CHEBI_18183,CHEBI_16924,CHEBI_16924_CHEBI_18183,enantiomer,enantiomer,100.0,1
CHEBI_57251,CHEBI_60898,CHEBI_57251_CHEBI_60898,enantiomer,enantiomer,100.0,1
CHEBI_143896,CHEBI_143895,CHEBI_143895_CHEBI_143896,enantiomer,enantiomer,100.0,1
CHEBI_77590,CHEBI_77591,CHEBI_77590_CHEBI_77591,enantiomer,enantiomer,100.0,1
CHEBI_62338,CHEBI_74656,CHEBI_62338_CHEBI_74656,enantiomer,enantiomer,100.0,1
CHEBI_49233,CHEBI_49232,CHEBI_49232_CHEBI_49233,enantiomer,enantiomer,100.0,1
CHEBI_233608,CHEBI_233607,CHEBI_233607_CHEBI_233608,enantiomer,enantiomer,100.0,1
CHEBI_38115,CHEBI_38114,CHEBI_38114_CHEBI_38115,enantiomer,enantiomer,100.0,1
CHEBI_90746,CHEBI_91072,CHEBI_90746_CHEBI_91072,enantiomer,enantiomer,100.0,1
CHEBI_133193,CHEBI_131899,CHEBI_131899_CHEBI_133193,enantiomer,enantiomer,100.0,1
CHEBI_88801,CHEBI_113,CHEBI_113_CHEBI_88801,enantiomer,enantiomer,100.0,1
CHEBI_15811,CHEBI_37713,CHEBI_15811_CHEBI_37713,enantiomer,enantiomer,100.0,1
CHEBI_132249,CHEBI_132250,CHEBI_132249_CHEBI_132250,enantiomer,enantiomer,100.0,1
CHEBI_82779,CHEBI_82782,CHEBI_82779_CHEBI_82782,enantiomer,enantiomer,100.0,1
CHEBI_138245,CHEBI_138246,CHEBI_138245_CHEBI_138246,enantiomer,enantiomer,100.0,1
CHEBI_26743,CHEBI_46965,CHEBI_26743_CHEBI_46965,enantiomer,enantiomer,100.0,1
CHEBI_32683,CHEBI_32690,CHEBI_32683_CHEBI_32690,enantiomer,enantiomer,100.0,1
CHEBI_28296,CHEBI_28459,CHEBI_28296_CHEBI_28459,enantiomer,enantiomer,100.0,1
CHEBI_63931,CHEBI_41183,CHEBI_41183_CHEBI_63931,enantiomer,enantiomer,100.0,1
CHEBI_36399,CHEBI_36400,CHEBI_36399_CHEBI_36400,enantiomer,enantiomer,100.0,1
CHEBI_149999,CHEBI_150001,CHEBI_149999_CHEBI_150001,enantiomer,enantiomer,100.0,1
CHEBI_52685,CHEBI_52686,CHEBI_52685_CHEBI_52686,enantiomer,enantiomer,100.0,1
CHEBI_83769,CHEBI_83770,CHEBI_83769_CHEBI_83770,enantiomer,enantiomer,100.0,1
CHEBI_48811,CHEBI_39254,CHEBI_39254_CHEBI_48811,enantiomer,enantiomer,100.0,1
CHEBI_143256,CHEBI_70467,CHEBI_143256_CHEBI_70467,enantiomer,enantiomer,100.0,1
CHEBI_195260,CHEBI_44337,CHEBI_195260_CHEBI_44337,enantiomer,enantiomer,100.0,1
CHEBI_148061,CHEBI_152558,CHEBI_148061_CHEBI_152558,enantiomer,enantiomer,100.0,1
CHEBI_32828,CHEBI_32822,CHEBI_32822_CHEBI_32828,enantiomer,enantiomer,100.0,1
CHEBI_60355,CHEBI_60354,CHEBI_60354_CHEBI_60355,enantiomer,enantiomer,100.0,1
CHEBI_49246,CHEBI_49245,CHEBI_49245_CHEBI_49246,enantiomer,enantiomer,100.0,1
CHEBI_48069,CHEBI_48068,CHEBI_48068_CHEBI_48069,enantiomer,enantiomer,100.0,1
CHEBI_83611,CHEBI_83614,CHEBI_83611_CHEBI_83614,enantiomer,enantiomer,100.0,1
CHEBI_53790,CHEBI_53788,CHEBI_53788_CHEBI_53790,enantiomer,enantiomer,100.0,1
CHEBI_146220,CHEBI_146219,CHEBI_146219_CHEBI_146220,enantiomer,enantiomer,100.0,1
CHEBI_63324,CHEBI_75346,CHEBI_63324_CHEBI_75346,enantiomer,enantiomer,100.0,1
CHEBI_149763,CHEBI_149762,CHEBI_149762_CHEBI_149763,enantiomer,enantiomer,100.0,1
CHEBI_231426,CHEBI_231424,CHEBI_231424_CHEBI_231426,enantiomer,enantiomer,100.0,1
CHEBI_75287,CHEBI_75288,CHEBI_75287_CHEBI_75288,enantiomer,enantiomer,100.0,1
CHEBI_142469,CHEBI_142471,CHEBI_142469_CHEBI_142471,enantiomer,enantiomer,100.0,1
CHEBI_39547,CHEBI_51453,CHEBI_39547_CHEBI_51453,enantiomer,enantiomer,100.0,1
CHEBI_83666,CHEBI_83668,CHEBI_83666_CHEBI_83668,enantiomer,enantiomer,100.0,1
CHEBI_82817,CHEBI_645509,CHEBI_645509_CHEBI_82817,enantiomer,enantiomer,100.0,1
CHEBI_180649,CHEBI_180648,CHEBI_180648_CHEBI_180649,enantiomer,enantiomer,100.0,1
CHEBI_36539,CHEBI_36540,CHEBI_36539_CHEBI_36540,enantiomer,enantiomer,100.0,1
CHEBI_90818,CHEBI_132083,CHEBI_132083_CHEBI_90818,enantiomer,enantiomer,100.0,1
CHEBI_143878,CHEBI_57702,CHEBI_143878_CHEBI_57702,enantiomer,enantiomer,100.0,1
CHEBI_83395,CHEBI_83396,CHEBI_83395_CHEBI_83396,enantiomer,enantiomer,100.0,1
CHEBI_29985,CHEBI_29986,CHEBI_29985_CHEBI_29986,enantiomer,enantiomer,100.0,1
CHEBI_134398,CHEBI_35280,CHEBI_134398_CHEBI_35280,enantiomer,enantiomer,100.0,1
CHEBI_13022,CHEBI_13172,CHEBI_13022_CHEBI_13172,enantiomer,enantiomer,100.0,1
CHEBI_17063,CHEBI_48262,CHEBI_17063_CHEBI_48262,enantiomer,enantiomer,100.0,1
CHEBI_78316,CHEBI_9955,CHEBI_78316_CHEBI_9955,enantiomer,enantiomer,100.0,1
CHEBI_230480,CHEBI_28322,CHEBI_230480_CHEBI_28322,enantiomer,enantiomer,100.0,1
CHEBI_38953,CHEBI_87,CHEBI_38953_CHEBI_87,enantiomer,enantiomer,100.0,1
CHEBI_154259,CHEBI_155672,CHEBI_154259_CHEBI_155672,enantiomer,enantiomer,100.0,1
CHEBI_133986,CHEBI_48905,CHEBI_133986_CHEBI_48905,enantiomer,enantiomer,100.0,1
CHEBI_32436,CHEBI_32432,CHEBI_32432_CHEBI_32436,enantiomer,enantiomer,100.0,1
CHEBI_37870,CHEBI_37871,CHEBI_37870_CHEBI_37871,enantiomer,enantiomer,100.0,1
CHEBI_72452,CHEBI_155701,CHEBI_155701_CHEBI_72452,enantiomer,enantiomer,100.0,1
CHEBI_38567,CHEBI_38568,CHEBI_38567_CHEBI_38568,enantiomer,enantiomer,100.0,1
CHEBI_15671,CHEBI_15672,CHEBI_15671_CHEBI_15672,enantiomer,enantiomer,100.0,1
CHEBI_131752,CHEBI_131753,CHEBI_131752_CHEBI_131753,enantiomer,enantiomer,100.0,1
CHEBI_180847,CHEBI_521391,CHEBI_180847_CHEBI_521391,enantiomer,enantiomer,100.0,1
CHEBI_30022,CHEBI_30021,CHEBI_30021_CHEBI_30022,enantiomer,enantiomer,100.0,1
CHEBI_83371,CHEBI_83367,CHEBI_83367_CHEBI_83371,enantiomer,enantiomer,100.0,1
CHEBI_84010,CHEBI_84009,CHEBI_84009_CHEBI_84010,enantiomer,enantiomer,100.0,1
CHEBI_132623,CHEBI_6695,CHEBI_132623_CHEBI_6695,enantiomer,enantiomer,100.0,1
CHEBI_82886,CHEBI_82888,CHEBI_82886_CHEBI_82888,enantiomer,enantiomer,100.0,1
CHEBI_50709,CHEBI_50708,CHEBI_50708_CHEBI_50709,enantiomer,enantiomer,100.0,1
CHEBI_32510,CHEBI_32523,CHEBI_32510_CHEBI_32523,enantiomer,enantiomer,100.0,1
CHEBI_136525,CHEBI_136526,CHEBI_136525_CHEBI_136526,enantiomer,enantiomer,100.0,1
CHEBI_37630,CHEBI_17925,CHEBI_17925_CHEBI_37630,enantiomer,enantiomer,100.0,1
CHEBI_149676,CHEBI_145731,CHEBI_145731_CHEBI_149676,enantiomer,enantiomer,100.0,1
CHEBI_144487,CHEBI_144481,CHEBI_144481_CHEBI_144487,enantiomer,enantiomer,100.0,1
CHEBI_18354,CHEBI_18288,CHEBI_18288_CHEBI_18354,enantiomer,enantiomer,100.0,1
CHEBI_17943,CHEBI_48290,CHEBI_17943_CHEBI_48290,enantiomer,enantiomer,100.0,1
CHEBI_73132,CHEBI_73133,CHEBI_73132_CHEBI_73133,enantiomer,enantiomer,100.0,1
