chebi_id,hmdb_id
CHEBI:122391,HMDB0015064
CHEBI:1224,HMDB0245257
CHEBI:122528,HMDB0014597
CHEBI:123115,HMDB0251144
CHEBI:1233,HMDB0304113
CHEBI:123417,HMDB0015629
CHEBI:12350,HMDB0006800
CHEBI:1237,HMDB0245282
CHEBI:123715,HMDB0005199
CHEBI:123745,HMDB0015614
CHEBI:12387,HMDB0001265
CHEBI:124938,HMDB0245305
CHEBI:124939,HMDB0257229
CHEBI:124969,HMDB0060947
CHEBI:124991,HMDB0014599
CHEBI:125161,HMDB0014529
CHEBI:125204,HMDB0246433
CHEBI:125206,HMDB0033456
CHEBI:125362,HMDB0259471
CHEBI:125365,HMDB0246713
CHEBI:125366,HMDB0033093
CHEBI:125368,HMDB0247063
CHEBI:125387,HMDB0242499
CHEBI:125402,HMDB0244768
CHEBI:125405,HMDB0256482
CHEBI:125406,HMDB0250615
CHEBI:125412,HMDB0035056
CHEBI:125417,HMDB0257139
CHEBI:125427,HMDB0242363
CHEBI:125429,HMDB0252113
CHEBI:125440,HMDB0245975
CHEBI:125449,HMDB0248904
CHEBI:125462,HMDB0258416
CHEBI:125553,HMDB0246109
CHEBI:125631,HMDB0249921
CHEBI:125678,HMDB0041943
CHEBI:125805,HMDB0240552
CHEBI:126237,HMDB0014962
CHEBI:126443,HMDB0015691
CHEBI:126598,HMDB0014725
CHEBI:126722,HMDB0014873
CHEBI:127029,HMDB0014944
CHEBI:127342,HMDB0014434
CHEBI:127439,HMDB0015338
CHEBI:127570,HMDB0015334
CHEBI:127604,HMDB0014723
CHEBI:127616,HMDB0014553
CHEBI:127713,HMDB0015069
CHEBI:127762,HMDB0001046
CHEBI:127780,HMDB0014670
CHEBI:127791,HMDB0030285
CHEBI:127904,HMDB0029734
CHEBI:128,HMDB0036086
CHEBI:128310,HMDB0015576
CHEBI:128477,HMDB0015563
CHEBI:129,HMDB0041633
CHEBI:1294,HMDB0006763
CHEBI:129569,HMDB0014849
CHEBI:1296,HMDB0006283
CHEBI:130096,HMDB0015556
CHEBI:130363,HMDB0002285
CHEBI:1307,HMDB0303481
CHEBI:131145,HMDB0008899
CHEBI:131147,HMDB0258516
CHEBI:131163,HMDB0257192
CHEBI:131178,HMDB0253181
CHEBI:131194,HMDB0258867
CHEBI:131326,HMDB0253739
CHEBI:131344,HMDB0031016
CHEBI:131345,HMDB0247310
CHEBI:131350,HMDB0245099
CHEBI:131351,HMDB0249865
CHEBI:131358,HMDB0248893
CHEBI:131371,HMDB0303426
CHEBI:131381,HMDB0062248
CHEBI:131388,HMDB0034778
CHEBI:131408,HMDB0252890
CHEBI:131420,HMDB0252064
CHEBI:131429,HMDB0249666
CHEBI:131431,HMDB0094709
CHEBI:131434,HMDB0000525
CHEBI:131449,HMDB0301884
CHEBI:131452,HMDB0301904
CHEBI:131454,HMDB0245397
CHEBI:131456,HMDB0037786
CHEBI:131493,HMDB0252480
CHEBI:131497,HMDB0303592
CHEBI:131498,HMDB0304730
CHEBI:131499,HMDB0304757
CHEBI:131502,HMDB0249486
CHEBI:131512,HMDB0243563
CHEBI:131518,HMDB0251355
CHEBI:131526,HMDB0303534
CHEBI:131527,HMDB0303424
CHEBI:131557,HMDB0011592
CHEBI:131603,HMDB0301916
CHEBI:131650,HMDB0304462
CHEBI:131654,HMDB0285913
CHEBI:131662,HMDB0009307
CHEBI:131665,HMDB0009010
CHEBI:131690,HMDB0011511
CHEBI:131691,HMDB0011481
CHEBI:131692,HMDB0011483
CHEBI:131700,HMDB0029213
CHEBI:131714,HMDB0252536
CHEBI:131715,HMDB0014955
CHEBI:131743,HMDB0011473
CHEBI:131751,HMDB0253366
CHEBI:131778,HMDB0253469
CHEBI:131788,HMDB0254229
CHEBI:131801,HMDB0258327
CHEBI:131804,HMDB0014491
CHEBI:131824,HMDB0259053
CHEBI:131839,HMDB0303651
CHEBI:131843,HMDB0254733
CHEBI:131852,HMDB0252474
CHEBI:131855,HMDB0035860
CHEBI:131857,HMDB0015611
CHEBI:131886,HMDB0062517
CHEBI:131887,HMDB0006210
CHEBI:131888,HMDB0005844
CHEBI:131924,HMDB0010381
CHEBI:131924,HMDB0010375
CHEBI:131977,HMDB0005454
CHEBI:132041,HMDB0060574
CHEBI:132051,HMDB0246778
CHEBI:132058,HMDB0240671
CHEBI:132079,HMDB0003733
CHEBI:132082,HMDB0251828
CHEBI:132098,HMDB0041929
CHEBI:132100,HMDB0303344
CHEBI:132106,HMDB0303504
CHEBI:132109,HMDB0303349
CHEBI:132112,HMDB0303549
CHEBI:132119,HMDB0260514
CHEBI:132121,HMDB0013651
CHEBI:132182,HMDB0031418
CHEBI:132188,HMDB0242144
CHEBI:132197,HMDB0246862
CHEBI:132203,HMDB0247661
CHEBI:132223,HMDB0002205
CHEBI:132231,HMDB0030309
CHEBI:132232,HMDB0247201
CHEBI:132233,HMDB0014328
CHEBI:132234,HMDB0254369
CHEBI:132240,HMDB0246968
CHEBI:132244,HMDB0000734
CHEBI:132246,HMDB0013117
CHEBI:132275,HMDB0002283
CHEBI:132276,HMDB0004673
CHEBI:132281,HMDB0302458
CHEBI:132284,HMDB0251428
CHEBI:132357,HMDB0245429
CHEBI:132359,HMDB0245432
CHEBI:132364,HMDB0252031
CHEBI:132399,HMDB0304602
CHEBI:132403,HMDB0028692
CHEBI:132446,HMDB0246220
CHEBI:132477,HMDB0240594
CHEBI:132478,HMDB0012082
CHEBI:132479,HMDB0240595
CHEBI:132546,HMDB0245844
CHEBI:132549,HMDB0303179
CHEBI:132583,HMDB0254869
CHEBI:132593,HMDB0244325
CHEBI:132606,HMDB0094645
CHEBI:132607,HMDB0094679
CHEBI:132609,HMDB0254852
CHEBI:132611,HMDB0094647
CHEBI:132612,HMDB0061744
CHEBI:132623,HMDB0302268
CHEBI:132624,HMDB0303156
CHEBI:132656,HMDB0302493
CHEBI:132714,HMDB0301712
CHEBI:132750,HMDB0033772
CHEBI:132752,HMDB0033854
CHEBI:132766,HMDB0303313
CHEBI:132767,HMDB0303470
CHEBI:132773,HMDB0044722
CHEBI:132774,HMDB0252245
CHEBI:132799,HMDB0033178
CHEBI:132812,HMDB0303877
CHEBI:132813,HMDB0042004
CHEBI:132823,HMDB0000649
CHEBI:132824,HMDB0036420
CHEBI:132835,HMDB0041761
CHEBI:132837,HMDB0303844
CHEBI:132838,HMDB0061653
CHEBI:132839,HMDB0040726
CHEBI:132842,HMDB0015028
CHEBI:132843,HMDB0040247
CHEBI:132844,HMDB0243756
CHEBI:132848,HMDB0037133
CHEBI:132854,HMDB0032662
CHEBI:132868,HMDB0030687
CHEBI:132869,HMDB0030688
CHEBI:132872,HMDB0061748
CHEBI:132878,HMDB0248950
CHEBI:132905,HMDB0036452
CHEBI:132906,HMDB0303564
CHEBI:132963,HMDB0252323
CHEBI:132991,HMDB0094651
CHEBI:132996,HMDB0240584
CHEBI:133005,HMDB0240215
CHEBI:133017,HMDB0256551
CHEBI:133021,HMDB0247760
CHEBI:133026,HMDB0240252
CHEBI:133028,HMDB0029160
CHEBI:133032,HMDB0029151
CHEBI:133040,HMDB0242125
