cluster_index,cluster_members,cluster_size,present_members,unmapped_members,mnx_ids_hit,distinct_mnx_ids,n_distinct_mnx_ids,member_to_mnx,classification,jaccard_cluster_vs_mnx
149,"['chebi:180695', 'keggD:D03115']",2,"['chebi:180695', 'keggD:D03115']",[],"['https://rdf.metanetx.org/chem/MNXM125623', 'https://rdf.metanetx.org/chem/MNXM1564150']","['https://rdf.metanetx.org/chem/MNXM125623', 'https://rdf.metanetx.org/chem/MNXM1564150']",2,"{'chebi:180695': 'https://rdf.metanetx.org/chem/MNXM1564150', 'keggD:D03115': 'https://rdf.metanetx.org/chem/MNXM125623'}",mnx_id_disagreement,0.0
1417,"['chebi:177632', 'sabiorkM:5034']",2,"['chebi:177632', 'sabiorkM:5034']",[],"['https://rdf.metanetx.org/chem/MNXM1129824', 'https://rdf.metanetx.org/chem/MNXM736788']","['https://rdf.metanetx.org/chem/MNXM1129824', 'https://rdf.metanetx.org/chem/MNXM736788']",2,"{'chebi:177632': 'https://rdf.metanetx.org/chem/MNXM1129824', 'sabiorkM:5034': 'https://rdf.metanetx.org/chem/MNXM736788'}",mnx_id_disagreement,0.0
1610,"['chebi:71294', 'hmdb:HMDB0304130', 'vmhM:3h3phepropcoa', 'seedM:cpd12862']",4,"['chebi:71294', 'hmdb:HMDB0304130', 'seedM:cpd12862']",['vmhM:3h3phepropcoa'],"['https://rdf.metanetx.org/chem/MNXM1363451', 'https://rdf.metanetx.org/chem/MNXM1363452']","['https://rdf.metanetx.org/chem/MNXM1363451', 'https://rdf.metanetx.org/chem/MNXM1363452']",2,"{'chebi:71294': 'https://rdf.metanetx.org/chem/MNXM1363451', 'hmdb:HMDB0304130': 'https://rdf.metanetx.org/chem/MNXM1363451', 'seedM:cpd12862': 'https://rdf.metanetx.org/chem/MNXM1363452'}",mnx_id_disagreement,0.0
1761,"['hmdb:HMDB0062708', 'sabiorkM:1892']",2,"['hmdb:HMDB0062708', 'sabiorkM:1892']",[],"['https://rdf.metanetx.org/chem/MNXM1104518', 'https://rdf.metanetx.org/chem/MNXM736424']","['https://rdf.metanetx.org/chem/MNXM1104518', 'https://rdf.metanetx.org/chem/MNXM736424']",2,"{'hmdb:HMDB0062708': 'https://rdf.metanetx.org/chem/MNXM736424', 'sabiorkM:1892': 'https://rdf.metanetx.org/chem/MNXM1104518'}",mnx_id_disagreement,0.0
2326,"['chebi:44976', 'keggC:C06701', 'sabiorkM:2905']",3,"['chebi:44976', 'keggC:C06701', 'sabiorkM:2905']",[],"['https://rdf.metanetx.org/chem/MNXM1094019', 'https://rdf.metanetx.org/chem/MNXM731419']","['https://rdf.metanetx.org/chem/MNXM1094019', 'https://rdf.metanetx.org/chem/MNXM731419']",2,"{'chebi:44976': 'https://rdf.metanetx.org/chem/MNXM1094019', 'keggC:C06701': 'https://rdf.metanetx.org/chem/MNXM1094019', 'sabiorkM:2905': 'https://rdf.metanetx.org/chem/MNXM731419'}",mnx_id_disagreement,0.0
2739,"['chebi:16374', 'seedM:cpd26114']",2,"['chebi:16374', 'seedM:cpd26114']",[],"['https://rdf.metanetx.org/chem/MNXM166', 'https://rdf.metanetx.org/chem/MNXM480569']","['https://rdf.metanetx.org/chem/MNXM166', 'https://rdf.metanetx.org/chem/MNXM480569']",2,"{'chebi:16374': 'https://rdf.metanetx.org/chem/MNXM166', 'seedM:cpd26114': 'https://rdf.metanetx.org/chem/MNXM480569'}",mnx_id_disagreement,0.0
3036,"['chebi:28770', 'keggC:C06350', 'sabiorkM:6389']",3,"['chebi:28770', 'keggC:C06350', 'sabiorkM:6389']",[],"['https://rdf.metanetx.org/chem/MNXM1364803', 'https://rdf.metanetx.org/chem/MNXM1364804']","['https://rdf.metanetx.org/chem/MNXM1364803', 'https://rdf.metanetx.org/chem/MNXM1364804']",2,"{'chebi:28770': 'https://rdf.metanetx.org/chem/MNXM1364804', 'keggC:C06350': 'https://rdf.metanetx.org/chem/MNXM1364804', 'sabiorkM:6389': 'https://rdf.metanetx.org/chem/MNXM1364803'}",mnx_id_disagreement,0.0
3448,"['chebi:81686', 'keggC:C18340', 'seedM:cpd19605']",3,"['chebi:81686', 'keggC:C18340', 'seedM:cpd19605']",[],"['https://rdf.metanetx.org/chem/MNXM1584163', 'https://rdf.metanetx.org/chem/MNXM1584164']","['https://rdf.metanetx.org/chem/MNXM1584163', 'https://rdf.metanetx.org/chem/MNXM1584164']",2,"{'chebi:81686': 'https://rdf.metanetx.org/chem/MNXM1584163', 'keggC:C18340': 'https://rdf.metanetx.org/chem/MNXM1584163', 'seedM:cpd19605': 'https://rdf.metanetx.org/chem/MNXM1584164'}",mnx_id_disagreement,0.0
3451,"['vmhM:HC02113', 'sabiorkM:1262']",2,"['sabiorkM:1262', 'vmhM:HC02113']",[],"['https://rdf.metanetx.org/chem/MNXM1581369', 'https://rdf.metanetx.org/chem/MNXM738702']","['https://rdf.metanetx.org/chem/MNXM1581369', 'https://rdf.metanetx.org/chem/MNXM738702']",2,"{'sabiorkM:1262': 'https://rdf.metanetx.org/chem/MNXM738702', 'vmhM:HC02113': 'https://rdf.metanetx.org/chem/MNXM1581369'}",mnx_id_disagreement,0.0
3869,"['chebi:230104', 'hmdb:HMDB0292348']",2,"['chebi:230104', 'hmdb:HMDB0292348']",[],"['https://rdf.metanetx.org/chem/MNXM1410809', 'https://rdf.metanetx.org/chem/MNXM1545514']","['https://rdf.metanetx.org/chem/MNXM1410809', 'https://rdf.metanetx.org/chem/MNXM1545514']",2,"{'chebi:230104': 'https://rdf.metanetx.org/chem/MNXM1410809', 'hmdb:HMDB0292348': 'https://rdf.metanetx.org/chem/MNXM1545514'}",mnx_id_disagreement,0.0
4213,"['hmdb:HMDB0246609', 'sabiorkM:7941']",2,"['hmdb:HMDB0246609', 'sabiorkM:7941']",[],"['https://rdf.metanetx.org/chem/MNXM1128754', 'https://rdf.metanetx.org/chem/MNXM735117']","['https://rdf.metanetx.org/chem/MNXM1128754', 'https://rdf.metanetx.org/chem/MNXM735117']",2,"{'hmdb:HMDB0246609': 'https://rdf.metanetx.org/chem/MNXM1128754', 'sabiorkM:7941': 'https://rdf.metanetx.org/chem/MNXM735117'}",mnx_id_disagreement,0.0
4292,"['chebi:46245', 'hmdb:HMDB0001072', 'keggC:C11378', 'keggD:D01065', 'lipidmapsM:LMPR02010001', 'vmhM:q10', 'seedM:cpd08232', 'SLM:000598068']",8,"['SLM:000598068', 'chebi:46245', 'hmdb:HMDB0001072', 'keggC:C11378', 'keggD:D01065', 'lipidmapsM:LMPR02010001', 'seedM:cpd08232', 'vmhM:q10']",[],"['https://rdf.metanetx.org/chem/MNXM1364538', 'https://rdf.metanetx.org/chem/MNXM1364539']","['https://rdf.metanetx.org/chem/MNXM1364538', 'https://rdf.metanetx.org/chem/MNXM1364539']",2,"{'SLM:000598068': 'https://rdf.metanetx.org/chem/MNXM1364539', 'chebi:46245': 'https://rdf.metanetx.org/chem/MNXM1364539', 'hmdb:HMDB0001072': 'https://rdf.metanetx.org/chem/MNXM1364539', 'keggC:C11378': 'https://rdf.metanetx.org/chem/MNXM1364538', 'keggD:D01065': 'https://rdf.metanetx.org/chem/MNXM1364538', 'lipidmapsM:LMPR02010001': 'https://rdf.metanetx.org/chem/MNXM1364539', 'seedM:cpd08232': 'https://rdf.metanetx.org/chem/MNXM1364539', 'vmhM:q10': 'https://rdf.metanetx.org/chem/MNXM1364539'}",mnx_id_disagreement,0.0
4293,"['hmdb:HMDB0255555', 'sabiorkM:13447']",2,"['hmdb:HMDB0255555', 'sabiorkM:13447']",[],"['https://rdf.metanetx.org/chem/MNXM1364539', 'https://rdf.metanetx.org/chem/MNXM1511410']","['https://rdf.metanetx.org/chem/MNXM1364539', 'https://rdf.metanetx.org/chem/MNXM1511410']",2,"{'hmdb:HMDB0255555': 'https://rdf.metanetx.org/chem/MNXM1511410', 'sabiorkM:13447': 'https://rdf.metanetx.org/chem/MNXM1364539'}",mnx_id_disagreement,0.0
5551,"['chebi:142983', 'seedM:cpd25418']",2,"['chebi:142983', 'seedM:cpd25418']",[],"['https://rdf.metanetx.org/chem/MNXM1370836', 'https://rdf.metanetx.org/chem/MNXM1370837']","['https://rdf.metanetx.org/chem/MNXM1370836', 'https://rdf.metanetx.org/chem/MNXM1370837']",2,"{'chebi:142983': 'https://rdf.metanetx.org/chem/MNXM1370836', 'seedM:cpd25418': 'https://rdf.metanetx.org/chem/MNXM1370837'}",mnx_id_disagreement,0.0
5922,"['chebi:167552', 'seedM:cpd33509']",2,"['chebi:167552', 'seedM:cpd33509']",[],"['https://rdf.metanetx.org/chem/MNXM1363693', 'https://rdf.metanetx.org/chem/MNXM1363694']","['https://rdf.metanetx.org/chem/MNXM1363693', 'https://rdf.metanetx.org/chem/MNXM1363694']",2,"{'chebi:167552': 'https://rdf.metanetx.org/chem/MNXM1363693', 'seedM:cpd33509': 'https://rdf.metanetx.org/chem/MNXM1363694'}",mnx_id_disagreement,0.0
6243,"['seedM:cpd35445', 'SLM:000042030']",2,"['SLM:000042030', 'seedM:cpd35445']",[],"['https://rdf.metanetx.org/chem/MNXM1364362', 'https://rdf.metanetx.org/chem/MNXM1364363']","['https://rdf.metanetx.org/chem/MNXM1364362', 'https://rdf.metanetx.org/chem/MNXM1364363']",2,"{'SLM:000042030': 'https://rdf.metanetx.org/chem/MNXM1364363', 'seedM:cpd35445': 'https://rdf.metanetx.org/chem/MNXM1364362'}",mnx_id_disagreement,0.0
6481,"['hmdb:HMDB0034410', 'sabiorkM:12162']",2,"['hmdb:HMDB0034410', 'sabiorkM:12162']",[],"['https://rdf.metanetx.org/chem/MNXM738822', 'https://rdf.metanetx.org/chem/MNXM738823']","['https://rdf.metanetx.org/chem/MNXM738822', 'https://rdf.metanetx.org/chem/MNXM738823']",2,"{'hmdb:HMDB0034410': 'https://rdf.metanetx.org/chem/MNXM738823', 'sabiorkM:12162': 'https://rdf.metanetx.org/chem/MNXM738822'}",mnx_id_disagreement,0.0
7065,"['hmdb:HMDB0247882', 'sabiorkM:5029']",2,"['hmdb:HMDB0247882', 'sabiorkM:5029']",[],"['https://rdf.metanetx.org/chem/MNXM1343308', 'https://rdf.metanetx.org/chem/MNXM730402']","['https://rdf.metanetx.org/chem/MNXM1343308', 'https://rdf.metanetx.org/chem/MNXM730402']",2,"{'hmdb:HMDB0247882': 'https://rdf.metanetx.org/chem/MNXM1343308', 'sabiorkM:5029': 'https://rdf.metanetx.org/chem/MNXM730402'}",mnx_id_disagreement,0.0
7085,"['chebi:229940', 'hmdb:HMDB0247881', 'sabiorkM:10447']",3,"['chebi:229940', 'hmdb:HMDB0247881', 'sabiorkM:10447']",[],"['https://rdf.metanetx.org/chem/MNXM728682', 'https://rdf.metanetx.org/chem/MNXM808314']","['https://rdf.metanetx.org/chem/MNXM728682', 'https://rdf.metanetx.org/chem/MNXM808314']",2,"{'chebi:229940': 'https://rdf.metanetx.org/chem/MNXM808314', 'hmdb:HMDB0247881': 'https://rdf.metanetx.org/chem/MNXM808314', 'sabiorkM:10447': 'https://rdf.metanetx.org/chem/MNXM728682'}",mnx_id_disagreement,0.0
7095,"['chebi:47952', 'keggC:C00191', 'sabiorkM:26257']",3,"['chebi:47952', 'keggC:C00191', 'sabiorkM:26257']",[],"['https://rdf.metanetx.org/chem/MNXM1102445', 'https://rdf.metanetx.org/chem/MNXM1105765']","['https://rdf.metanetx.org/chem/MNXM1102445', 'https://rdf.metanetx.org/chem/MNXM1105765']",2,"{'chebi:47952': 'https://rdf.metanetx.org/chem/MNXM1105765', 'keggC:C00191': 'https://rdf.metanetx.org/chem/MNXM1105765', 'sabiorkM:26257': 'https://rdf.metanetx.org/chem/MNXM1102445'}",mnx_id_disagreement,0.0
7103,"['chebi:15446', 'chebi:17309', 'chebi:33885', 'hmdb:HMDB0003363']",4,"['chebi:15446', 'chebi:17309', 'chebi:33885', 'hmdb:HMDB0003363']",[],"['https://rdf.metanetx.org/chem/MNXM1106180', 'https://rdf.metanetx.org/chem/MNXM726528']","['https://rdf.metanetx.org/chem/MNXM1106180', 'https://rdf.metanetx.org/chem/MNXM726528']",2,"{'chebi:15446': 'https://rdf.metanetx.org/chem/MNXM726528', 'chebi:17309': 'https://rdf.metanetx.org/chem/MNXM726528', 'chebi:33885': 'https://rdf.metanetx.org/chem/MNXM1106180', 'hmdb:HMDB0003363': 'https://rdf.metanetx.org/chem/MNXM1106180'}",mnx_id_disagreement,0.0
7112,"['chebi:85311', 'seedM:cpd35710']",2,"['chebi:85311', 'seedM:cpd35710']",[],"['https://rdf.metanetx.org/chem/MNXM491964', 'https://rdf.metanetx.org/chem/MNXM728652']","['https://rdf.metanetx.org/chem/MNXM491964', 'https://rdf.metanetx.org/chem/MNXM728652']",2,"{'chebi:85311': 'https://rdf.metanetx.org/chem/MNXM728652', 'seedM:cpd35710': 'https://rdf.metanetx.org/chem/MNXM491964'}",mnx_id_disagreement,0.0
7120,"['chebi:140523', 'chebi:58658', 'chebi:68837', 'seedM:cpd23461']",4,"['chebi:140523', 'chebi:58658', 'chebi:68837', 'seedM:cpd23461']",[],"['https://rdf.metanetx.org/chem/MNXM1106180', 'https://rdf.metanetx.org/chem/MNXM726528']","['https://rdf.metanetx.org/chem/MNXM1106180', 'https://rdf.metanetx.org/chem/MNXM726528']",2,"{'chebi:140523': 'https://rdf.metanetx.org/chem/MNXM726528', 'chebi:58658': 'https://rdf.metanetx.org/chem/MNXM1106180', 'chebi:68837': 'https://rdf.metanetx.org/chem/MNXM726528', 'seedM:cpd23461': 'https://rdf.metanetx.org/chem/MNXM1106180'}",mnx_id_disagreement,0.0
7131,"['chebi:17497', 'hmdb:HMDB0000115', 'keggC:C00160', 'keggC:C03547', 'sabiorkM:1953']",5,"['chebi:17497', 'hmdb:HMDB0000115', 'keggC:C00160', 'keggC:C03547', 'sabiorkM:1953']",[],"['https://rdf.metanetx.org/chem/MNXM222', 'https://rdf.metanetx.org/chem/MNXM729097']","['https://rdf.metanetx.org/chem/MNXM222', 'https://rdf.metanetx.org/chem/MNXM729097']",2,"{'chebi:17497': 'https://rdf.metanetx.org/chem/MNXM222', 'hmdb:HMDB0000115': 'https://rdf.metanetx.org/chem/MNXM222', 'keggC:C00160': 'https://rdf.metanetx.org/chem/MNXM222', 'keggC:C03547': 'https://rdf.metanetx.org/chem/MNXM729097', 'sabiorkM:1953': 'https://rdf.metanetx.org/chem/MNXM222'}",mnx_id_disagreement,0.0
7339,"['chebi:91709', 'hmdb:HMDB0250799', 'sabiorkM:2570']",3,"['chebi:91709', 'hmdb:HMDB0250799', 'sabiorkM:2570']",[],"['https://rdf.metanetx.org/chem/MNXM3369', 'https://rdf.metanetx.org/chem/MNXM468581']","['https://rdf.metanetx.org/chem/MNXM3369', 'https://rdf.metanetx.org/chem/MNXM468581']",2,"{'chebi:91709': 'https://rdf.metanetx.org/chem/MNXM468581', 'hmdb:HMDB0250799': 'https://rdf.metanetx.org/chem/MNXM468581', 'sabiorkM:2570': 'https://rdf.metanetx.org/chem/MNXM3369'}",mnx_id_disagreement,0.0
7393,"['chebi:177499', 'hmdb:HMDB0304183', 'sabiorkM:14180']",3,"['chebi:177499', 'hmdb:HMDB0304183', 'sabiorkM:14180']",[],"['https://rdf.metanetx.org/chem/MNXM1104918', 'https://rdf.metanetx.org/chem/MNXM1370041']","['https://rdf.metanetx.org/chem/MNXM1104918', 'https://rdf.metanetx.org/chem/MNXM1370041']",2,"{'chebi:177499': 'https://rdf.metanetx.org/chem/MNXM1370041', 'hmdb:HMDB0304183': 'https://rdf.metanetx.org/chem/MNXM1370041', 'sabiorkM:14180': 'https://rdf.metanetx.org/chem/MNXM1104918'}",mnx_id_disagreement,0.0
7592,"['chebi:62057', 'seedM:cpd09253']",2,"['chebi:62057', 'seedM:cpd09253']",[],"['https://rdf.metanetx.org/chem/MNXM1371274', 'https://rdf.metanetx.org/chem/MNXM1371275']","['https://rdf.metanetx.org/chem/MNXM1371274', 'https://rdf.metanetx.org/chem/MNXM1371275']",2,"{'chebi:62057': 'https://rdf.metanetx.org/chem/MNXM1371275', 'seedM:cpd09253': 'https://rdf.metanetx.org/chem/MNXM1371274'}",mnx_id_disagreement,0.0
7769,"['chebi:58930', 'seedM:cpd08486']",2,"['chebi:58930', 'seedM:cpd08486']",[],"['https://rdf.metanetx.org/chem/MNXM1368846', 'https://rdf.metanetx.org/chem/MNXM1368847']","['https://rdf.metanetx.org/chem/MNXM1368846', 'https://rdf.metanetx.org/chem/MNXM1368847']",2,"{'chebi:58930': 'https://rdf.metanetx.org/chem/MNXM1368846', 'seedM:cpd08486': 'https://rdf.metanetx.org/chem/MNXM1368847'}",mnx_id_disagreement,0.0
9067,"['chebi:29522', 'keggC:C11984', 'lipidmapsM:LMPK04000025', 'seedM:cpd08781']",4,"['chebi:29522', 'keggC:C11984', 'lipidmapsM:LMPK04000025', 'seedM:cpd08781']",[],"['https://rdf.metanetx.org/chem/MNXM1363735', 'https://rdf.metanetx.org/chem/MNXM1363736']","['https://rdf.metanetx.org/chem/MNXM1363735', 'https://rdf.metanetx.org/chem/MNXM1363736']",2,"{'chebi:29522': 'https://rdf.metanetx.org/chem/MNXM1363735', 'keggC:C11984': 'https://rdf.metanetx.org/chem/MNXM1363735', 'lipidmapsM:LMPK04000025': 'https://rdf.metanetx.org/chem/MNXM1363736', 'seedM:cpd08781': 'https://rdf.metanetx.org/chem/MNXM1363735'}",mnx_id_disagreement,0.0
9072,"['hmdb:HMDB0244087', 'SLM:000389240']",2,"['SLM:000389240', 'hmdb:HMDB0244087']",[],"['https://rdf.metanetx.org/chem/MNXM1506023', 'https://rdf.metanetx.org/chem/MNXM5401']","['https://rdf.metanetx.org/chem/MNXM1506023', 'https://rdf.metanetx.org/chem/MNXM5401']",2,"{'SLM:000389240': 'https://rdf.metanetx.org/chem/MNXM5401', 'hmdb:HMDB0244087': 'https://rdf.metanetx.org/chem/MNXM1506023'}",mnx_id_disagreement,0.0
9887,"['chebi:7529', 'keggD:D00867']",2,"['chebi:7529', 'keggD:D00867']",[],"['https://rdf.metanetx.org/chem/MNXM1583299', 'https://rdf.metanetx.org/chem/MNXM1583300']","['https://rdf.metanetx.org/chem/MNXM1583299', 'https://rdf.metanetx.org/chem/MNXM1583300']",2,"{'chebi:7529': 'https://rdf.metanetx.org/chem/MNXM1583300', 'keggD:D00867': 'https://rdf.metanetx.org/chem/MNXM1583299'}",mnx_id_disagreement,0.0
10229,"['chebi:15809', 'vmhM:dolmanp_L', 'vmhM:dolmanp_U']",3,"['chebi:15809', 'vmhM:dolmanp_L', 'vmhM:dolmanp_U']",[],"['https://rdf.metanetx.org/chem/MNXM1106058', 'https://rdf.metanetx.org/chem/MNXM2667']","['https://rdf.metanetx.org/chem/MNXM1106058', 'https://rdf.metanetx.org/chem/MNXM2667']",2,"{'chebi:15809': 'https://rdf.metanetx.org/chem/MNXM1106058', 'vmhM:dolmanp_L': 'https://rdf.metanetx.org/chem/MNXM2667', 'vmhM:dolmanp_U': 'https://rdf.metanetx.org/chem/MNXM2667'}",mnx_id_disagreement,0.0
10231,"['chebi:15812', 'keggC:C01246', 'lipidmapsM:LMPR03080014', 'vmhM:dolglcp_L', 'vmhM:dolglcp_U']",5,"['chebi:15812', 'keggC:C01246', 'lipidmapsM:LMPR03080014', 'vmhM:dolglcp_L', 'vmhM:dolglcp_U']",[],"['https://rdf.metanetx.org/chem/MNXM1103973', 'https://rdf.metanetx.org/chem/MNXM728542']","['https://rdf.metanetx.org/chem/MNXM1103973', 'https://rdf.metanetx.org/chem/MNXM728542']",2,"{'chebi:15812': 'https://rdf.metanetx.org/chem/MNXM728542', 'keggC:C01246': 'https://rdf.metanetx.org/chem/MNXM728542', 'lipidmapsM:LMPR03080014': 'https://rdf.metanetx.org/chem/MNXM1103973', 'vmhM:dolglcp_L': 'https://rdf.metanetx.org/chem/MNXM1103973', 'vmhM:dolglcp_U': 'https://rdf.metanetx.org/chem/MNXM1103973'}",mnx_id_disagreement,0.0
10430,"['chebi:38264', 'hmdb:HMDB0033923', 'keggC:C16434', 'vmhM:alloile_L', 'sabiorkM:2886', 'seedM:cpd15139']",6,"['chebi:38264', 'hmdb:HMDB0033923', 'keggC:C16434', 'sabiorkM:2886', 'seedM:cpd15139']",['vmhM:alloile_L'],"['https://rdf.metanetx.org/chem/MNXM11281', 'https://rdf.metanetx.org/chem/MNXM728337']","['https://rdf.metanetx.org/chem/MNXM11281', 'https://rdf.metanetx.org/chem/MNXM728337']",2,"{'chebi:38264': 'https://rdf.metanetx.org/chem/MNXM728337', 'hmdb:HMDB0033923': 'https://rdf.metanetx.org/chem/MNXM728337', 'keggC:C16434': 'https://rdf.metanetx.org/chem/MNXM728337', 'sabiorkM:2886': 'https://rdf.metanetx.org/chem/MNXM11281', 'seedM:cpd15139': 'https://rdf.metanetx.org/chem/MNXM728337'}",mnx_id_disagreement,0.0
11010,"['chebi:142754', 'seedM:cpd05921']",2,"['chebi:142754', 'seedM:cpd05921']",[],"['https://rdf.metanetx.org/chem/MNXM1363728', 'https://rdf.metanetx.org/chem/MNXM1363729']","['https://rdf.metanetx.org/chem/MNXM1363728', 'https://rdf.metanetx.org/chem/MNXM1363729']",2,"{'chebi:142754': 'https://rdf.metanetx.org/chem/MNXM1363728', 'seedM:cpd05921': 'https://rdf.metanetx.org/chem/MNXM1363729'}",mnx_id_disagreement,0.0
11334,"['keggC:C16907', 'seedM:cpd19218']",2,"['keggC:C16907', 'seedM:cpd19218']",[],"['https://rdf.metanetx.org/chem/MNXM1371721', 'https://rdf.metanetx.org/chem/MNXM1371722']","['https://rdf.metanetx.org/chem/MNXM1371721', 'https://rdf.metanetx.org/chem/MNXM1371722']",2,"{'keggC:C16907': 'https://rdf.metanetx.org/chem/MNXM1371721', 'seedM:cpd19218': 'https://rdf.metanetx.org/chem/MNXM1371722'}",mnx_id_disagreement,0.0
11694,"['chebi:94686', 'hmdb:HMDB0015215', 'keggD:D04028', 'seedM:cpd32431']",4,"['chebi:94686', 'hmdb:HMDB0015215', 'keggD:D04028', 'seedM:cpd32431']",[],"['https://rdf.metanetx.org/chem/MNXM1370716', 'https://rdf.metanetx.org/chem/MNXM1370717']","['https://rdf.metanetx.org/chem/MNXM1370716', 'https://rdf.metanetx.org/chem/MNXM1370717']",2,"{'chebi:94686': 'https://rdf.metanetx.org/chem/MNXM1370717', 'hmdb:HMDB0015215': 'https://rdf.metanetx.org/chem/MNXM1370717', 'keggD:D04028': 'https://rdf.metanetx.org/chem/MNXM1370716', 'seedM:cpd32431': 'https://rdf.metanetx.org/chem/MNXM1370717'}",mnx_id_disagreement,0.0
11729,"['chebi:18257', 'keggC:C01602', 'lipidmapsM:LMFA01100057', 'sabiorkM:1290']",4,"['chebi:18257', 'keggC:C01602', 'lipidmapsM:LMFA01100057', 'sabiorkM:1290']",[],"['https://rdf.metanetx.org/chem/MNXM741174', 'https://rdf.metanetx.org/chem/MNXM741175']","['https://rdf.metanetx.org/chem/MNXM741174', 'https://rdf.metanetx.org/chem/MNXM741175']",2,"{'chebi:18257': 'https://rdf.metanetx.org/chem/MNXM741174', 'keggC:C01602': 'https://rdf.metanetx.org/chem/MNXM741174', 'lipidmapsM:LMFA01100057': 'https://rdf.metanetx.org/chem/MNXM741174', 'sabiorkM:1290': 'https://rdf.metanetx.org/chem/MNXM741175'}",mnx_id_disagreement,0.0
13335,"['chebi:2819', 'keggC:C10753', 'seedM:cpd07639']",3,"['chebi:2819', 'keggC:C10753', 'seedM:cpd07639']",[],"['https://rdf.metanetx.org/chem/MNXM1369453', 'https://rdf.metanetx.org/chem/MNXM1369454']","['https://rdf.metanetx.org/chem/MNXM1369453', 'https://rdf.metanetx.org/chem/MNXM1369454']",2,"{'chebi:2819': 'https://rdf.metanetx.org/chem/MNXM1369453', 'keggC:C10753': 'https://rdf.metanetx.org/chem/MNXM1369453', 'seedM:cpd07639': 'https://rdf.metanetx.org/chem/MNXM1369454'}",mnx_id_disagreement,0.0
13349,"['chebi:58561', 'vmhM:pre3a', 'seedM:cpd03420']",3,"['chebi:58561', 'seedM:cpd03420', 'vmhM:pre3a']",[],"['https://rdf.metanetx.org/chem/MNXM1367099', 'https://rdf.metanetx.org/chem/MNXM1367100']","['https://rdf.metanetx.org/chem/MNXM1367099', 'https://rdf.metanetx.org/chem/MNXM1367100']",2,"{'chebi:58561': 'https://rdf.metanetx.org/chem/MNXM1367099', 'seedM:cpd03420': 'https://rdf.metanetx.org/chem/MNXM1367100', 'vmhM:pre3a': 'https://rdf.metanetx.org/chem/MNXM1367099'}",mnx_id_disagreement,0.0
15285,"['chebi:187996', 'lipidmapsM:LMPR0105030001']",2,"['chebi:187996', 'lipidmapsM:LMPR0105030001']",[],"['https://rdf.metanetx.org/chem/MNXM1375805', 'https://rdf.metanetx.org/chem/MNXM30269']","['https://rdf.metanetx.org/chem/MNXM1375805', 'https://rdf.metanetx.org/chem/MNXM30269']",2,"{'chebi:187996': 'https://rdf.metanetx.org/chem/MNXM1375805', 'lipidmapsM:LMPR0105030001': 'https://rdf.metanetx.org/chem/MNXM30269'}",mnx_id_disagreement,0.0
15390,"['chebi:60823', 'chebi:60826', 'keggC:C19786']",3,"['chebi:60823', 'chebi:60826', 'keggC:C19786']",[],"['https://rdf.metanetx.org/chem/MNXM5301', 'https://rdf.metanetx.org/chem/MNXM683009']","['https://rdf.metanetx.org/chem/MNXM5301', 'https://rdf.metanetx.org/chem/MNXM683009']",2,"{'chebi:60823': 'https://rdf.metanetx.org/chem/MNXM5301', 'chebi:60826': 'https://rdf.metanetx.org/chem/MNXM683009', 'keggC:C19786': 'https://rdf.metanetx.org/chem/MNXM5301'}",mnx_id_disagreement,0.0
15464,"['chebi:144434', 'keggD:D10705']",2,"['chebi:144434', 'keggD:D10705']",[],"['https://rdf.metanetx.org/chem/MNXM156036', 'https://rdf.metanetx.org/chem/MNXM747713']","['https://rdf.metanetx.org/chem/MNXM156036', 'https://rdf.metanetx.org/chem/MNXM747713']",2,"{'chebi:144434': 'https://rdf.metanetx.org/chem/MNXM747713', 'keggD:D10705': 'https://rdf.metanetx.org/chem/MNXM156036'}",mnx_id_disagreement,0.0
15738,"['chebi:179843', 'keggC:C20282', 'seedM:cpd31008']",3,"['chebi:179843', 'keggC:C20282', 'seedM:cpd31008']",[],"['https://rdf.metanetx.org/chem/MNXM1363393', 'https://rdf.metanetx.org/chem/MNXM1363394']","['https://rdf.metanetx.org/chem/MNXM1363393', 'https://rdf.metanetx.org/chem/MNXM1363394']",2,"{'chebi:179843': 'https://rdf.metanetx.org/chem/MNXM1363393', 'keggC:C20282': 'https://rdf.metanetx.org/chem/MNXM1363393', 'seedM:cpd31008': 'https://rdf.metanetx.org/chem/MNXM1363394'}",mnx_id_disagreement,0.0
16191,"['chebi:32818', 'sabiorkM:7354']",2,"['chebi:32818', 'sabiorkM:7354']",[],"['https://rdf.metanetx.org/chem/MNXM1369249', 'https://rdf.metanetx.org/chem/MNXM1369250']","['https://rdf.metanetx.org/chem/MNXM1369249', 'https://rdf.metanetx.org/chem/MNXM1369250']",2,"{'chebi:32818': 'https://rdf.metanetx.org/chem/MNXM1369249', 'sabiorkM:7354': 'https://rdf.metanetx.org/chem/MNXM1369250'}",mnx_id_disagreement,0.0
